sample_date,treatment,replicate,station,depth,cores,sample_divided,surface_area_examined_sq_cm,ridge_or_furrow,species,number_of_seeds,volume_examined_cu_cm
2002-05-20,T1,R1,S1,0-5 cm,20,t,28.35,,Digitaria sanguinalis (L.) Scop.,1,141.75
2002-05-20,T1,R1,S2,0-5 cm,20,t,28.35,,Digitaria sanguinalis (L.) Scop.,1,141.75
2002-05-20,T1,R1,S2,0-5 cm,20,t,28.35,,Poa compressa L.,9,141.75
2002-05-20,T1,R1,S2,0-5 cm,20,t,28.35,,Stellaria media (L.) Vill.,1,141.75
2002-05-20,T1,R1,S3,0-5 cm,20,t,28.35,,Digitaria sanguinalis (L.) Scop.,1,141.75
2002-05-20,T1,R1,S4,0-5 cm,20,t,28.35,,NONE FOUND,0,141.75
2002-05-20,T1,R1,S5,0-5 cm,20,t,28.35,,NONE FOUND,0,141.75
2002-05-20,T1,R2,S1,0-5 cm,20,t,28.35,,NONE FOUND,0,141.75
2002-05-20,T1,R2,S2,0-5 cm,20,t,28.35,,Stellaria media (L.) Vill.,1,141.75
2002-05-20,T1,R2,S2,0-5 cm,20,t,28.35,,Poa compressa L.,10,141.75
2002-05-20,T1,R2,S3,0-5 cm,20,t,28.35,,Chenopodium album L.,1,141.75
2002-05-20,T1,R2,S4,0-5 cm,20,t,28.35,,NONE FOUND,0,141.75
2002-05-20,T1,R2,S5,0-5 cm,20,t,28.35,,NONE FOUND,0,141.75
2002-05-20,T1,R3,S1,0-5 cm,20,t,28.35,,Stellaria media (L.) Vill.,1,141.75
2002-05-20,T1,R3,S2,0-5 cm,20,t,28.35,,NONE FOUND,0,141.75
2002-05-20,T1,R3,S3,0-5 cm,20,t,28.35,,NONE FOUND,0,141.75
2002-05-20,T1,R3,S4,0-5 cm,20,t,28.35,,Stellaria media (L.) Vill.,1,141.75
2002-05-20,T1,R3,S5,0-5 cm,20,t,28.35,,Populus deltoides,1,141.75
2002-05-20,T1,R4,S1,0-5 cm,20,t,28.35,,Stellaria media (L.) Vill.,1,141.75
2002-05-20,T1,R4,S2,0-5 cm,20,t,28.35,,NONE FOUND,0,141.75
2002-05-20,T1,R4,S3,0-5 cm,20,t,28.35,,Stellaria media (L.) Vill.,7,141.75
2002-05-20,T1,R4,S4,0-5 cm,20,t,28.35,,NONE FOUND,0,141.75
2002-05-20,T1,R4,S5,0-5 cm,20,t,28.35,,Stellaria media (L.) Vill.,5,141.75
2002-05-20,T1,R5,S1,0-5 cm,20,t,28.35,,Elymus repens (L.) Gould,1,141.75
2002-05-20,T1,R5,S1,0-5 cm,20,t,28.35,,Digitaria sanguinalis (L.) Scop.,1,141.75
2002-05-20,T1,R5,S2,0-5 cm,20,t,28.35,,Poa compressa L.,39,141.75
2002-05-20,T1,R5,S2,0-5 cm,20,t,28.35,,Stellaria media (L.) Vill.,3,141.75
2002-05-20,T1,R5,S3,0-5 cm,20,t,28.35,,Stellaria media (L.) Vill.,6,141.75
2002-05-20,T1,R5,S4,0-5 cm,20,t,28.35,,NONE FOUND,0,141.75
2002-05-20,T1,R5,S5,0-5 cm,20,t,28.35,,Stellaria media (L.) Vill.,4,141.75
2002-05-20,T1,R6,S1,0-5 cm,20,t,28.35,,Oxalis stricta L.,2,141.75
2002-05-20,T1,R6,S1,0-5 cm,20,t,28.35,,Stellaria media (L.) Vill.,10,141.75
2002-05-20,T1,R6,S2,0-5 cm,20,t,28.35,,Stellaria media (L.) Vill.,2,141.75
2002-05-20,T1,R6,S3,0-5 cm,20,t,28.35,,Stellaria media (L.) Vill.,2,141.75
2002-05-20,T1,R6,S3,0-5 cm,20,t,28.35,,Lamium sp.,1,141.75
2002-05-20,T1,R6,S4,0-5 cm,20,t,28.35,,Stellaria media (L.) Vill.,12,141.75
2002-05-20,T1,R6,S4,0-5 cm,20,t,28.35,,Portulaca oleracea L.,1,141.75
2002-05-20,T1,R6,S5,0-5 cm,20,t,28.35,,NONE FOUND,0,141.75
2002-05-20,T7,R1,S1,0-5 cm,20,t,28.35,,Juncus tenuis Willd.,34,141.75
2002-05-20,T7,R1,S1,0-5 cm,20,t,28.35,,Phleum pratense L.,4,141.75
2002-05-20,T7,R1,S1,0-5 cm,20,t,28.35,,Solidago canadensis L.,4,141.75
2002-05-20,T7,R1,S1,0-5 cm,20,t,28.35,,Trifolium repens L.,1,141.75
2002-05-20,T7,R1,S1,0-5 cm,20,t,28.35,,Unknown dicot (*),1,141.75
2002-05-20,T7,R1,S1,0-5 cm,20,t,28.35,,Veronica peregrina L.,18,141.75
2002-05-20,T7,R1,S1,0-5 cm,20,t,28.35,,Unknown grass,1,141.75
2002-05-20,T7,R1,S1,0-5 cm,20,t,28.35,,Amaranthus retroflexus L.,1,141.75
2002-05-20,T7,R1,S1,0-5 cm,20,t,28.35,,Aster pilosus Willd.,3,141.75
2002-05-20,T7,R1,S1,0-5 cm,20,t,28.35,,Chenopodium album L.,5,141.75
2002-05-20,T7,R1,S1,0-5 cm,20,t,28.35,,Dactylis glomerata L.,2,141.75
2002-05-20,T7,R1,S1,0-5 cm,20,t,28.35,,Daucus carota L.,1,141.75
2002-05-20,T7,R1,S1,0-5 cm,20,t,28.35,,Erigeron annuus (L.) Pers.,1,141.75
2002-05-20,T7,R1,S1,0-5 cm,20,t,28.35,,Hieracium sp. (*),1,141.75
2002-05-20,T7,R1,S2,0-5 cm,20,t,28.35,,Phleum pratense L.,27,141.75
2002-05-20,T7,R1,S2,0-5 cm,20,t,28.35,,Arabidopsis thaliana (L.) Heynh.,1,141.75
2002-05-20,T7,R1,S2,0-5 cm,20,t,28.35,,Aster pilosus Willd.,1,141.75
2002-05-20,T7,R1,S2,0-5 cm,20,t,28.35,,Chenopodium album L.,1,141.75
2002-05-20,T7,R1,S2,0-5 cm,20,t,28.35,,Erigeron annuus (L.) Pers.,7,141.75
2002-05-20,T7,R1,S2,0-5 cm,20,t,28.35,,Hieracium sp. (*),2,141.75
2002-05-20,T7,R1,S2,0-5 cm,20,t,28.35,,Oxalis stricta L.,2,141.75
2002-05-20,T7,R1,S2,0-5 cm,20,t,28.35,,Unknown grass,1,141.75
2002-05-20,T7,R1,S3,0-5 cm,20,t,28.35,,Cerastium vulgatum L.,1,141.75
2002-05-20,T7,R1,S3,0-5 cm,20,t,28.35,,Veronica peregrina L.,2,141.75
2002-05-20,T7,R1,S3,0-5 cm,20,t,28.35,,Unknown dicot (*),1,141.75
2002-05-20,T7,R1,S3,0-5 cm,20,t,28.35,,Trifolium repens L.,5,141.75
2002-05-20,T7,R1,S3,0-5 cm,20,t,28.35,,Solidago canadensis L.,6,141.75
2002-05-20,T7,R1,S3,0-5 cm,20,t,28.35,,Potentilla sp.,1,141.75
2002-05-20,T7,R1,S3,0-5 cm,20,t,28.35,,Poa compressa L.,1,141.75
2002-05-20,T7,R1,S3,0-5 cm,20,t,28.35,,Phleum pratense L.,2,141.75
2002-05-20,T7,R1,S3,0-5 cm,20,t,28.35,,Panicum dichotomiflorum Michx.,2,141.75
2002-05-20,T7,R1,S3,0-5 cm,20,t,28.35,,Hieracium sp. (*),9,141.75
2002-05-20,T7,R1,S3,0-5 cm,20,t,28.35,,Erigeron annuus (L.) Pers.,2,141.75
2002-05-20,T7,R1,S3,0-5 cm,20,t,28.35,,Chenopodium album L.,13,141.75
2002-05-20,T7,R1,S3,0-5 cm,20,t,28.35,,Achillea millefolium L.,2,141.75
2002-05-20,T7,R1,S3,0-5 cm,20,t,28.35,,Aster pilosus Willd.,1,141.75
2002-05-20,T7,R1,S4,0-5 cm,20,t,28.35,,Erigeron annuus (L.) Pers.,11,141.75
2002-05-20,T7,R1,S4,0-5 cm,20,t,28.35,,Juncus tenuis Willd.,3,141.75
2002-05-20,T7,R1,S4,0-5 cm,20,t,28.35,,Phleum pratense L.,5,141.75
2002-05-20,T7,R1,S4,0-5 cm,20,t,28.35,,Poa compressa L.,4,141.75
2002-05-20,T7,R1,S4,0-5 cm,20,t,28.35,,Solidago canadensis L.,3,141.75
2002-05-20,T7,R1,S4,0-5 cm,20,t,28.35,,Unknown dicot (*),1,141.75
2002-05-20,T7,R1,S4,0-5 cm,20,t,28.35,,Veronica peregrina L.,1,141.75
2002-05-20,T7,R1,S4,0-5 cm,20,t,28.35,,Verbascum thapsus L.,1,141.75
2002-05-20,T7,R1,S4,0-5 cm,20,t,28.35,,Abutilon theophrasti Medikus,1,141.75
2002-05-20,T7,R1,S4,0-5 cm,20,t,28.35,,Aster pilosus Willd.,1,141.75
2002-05-20,T7,R1,S4,0-5 cm,20,t,28.35,,Chenopodium album L.,1,141.75
2002-05-20,T7,R1,S4,0-5 cm,20,t,28.35,,Daucus carota L.,1,141.75
2002-05-20,T7,R1,S4,0-5 cm,20,t,28.35,,Achillea millefolium L.,1,141.75
2002-05-20,T7,R1,S5,0-5 cm,20,t,28.35,,Potentilla sp.,1,141.75
2002-05-20,T7,R1,S5,0-5 cm,20,t,28.35,,Trifolium pratense L.,1,141.75
2002-05-20,T7,R1,S5,0-5 cm,20,t,28.35,,unknown Asteraceae,1,141.75
2002-05-20,T7,R1,S5,0-5 cm,20,t,28.35,,Unknown dicot (*),1,141.75
2002-05-20,T7,R1,S5,0-5 cm,20,t,28.35,,Arabidopsis thaliana (L.) Heynh.,1,141.75
2002-05-20,T7,R1,S5,0-5 cm,20,t,28.35,,Achillea millefolium L.,1,141.75
2002-05-20,T7,R1,S5,0-5 cm,20,t,28.35,,Amaranthus retroflexus L.,1,141.75
2002-05-20,T7,R1,S5,0-5 cm,20,t,28.35,,Veronica peregrina L.,1,141.75
2002-05-20,T7,R1,S5,0-5 cm,20,t,28.35,,Aster pilosus Willd.,2,141.75
2002-05-20,T7,R1,S5,0-5 cm,20,t,28.35,,Cerastium vulgatum L.,1,141.75
2002-05-20,T7,R1,S5,0-5 cm,20,t,28.35,,Chenopodium album L.,3,141.75
2002-05-20,T7,R1,S5,0-5 cm,20,t,28.35,,Daucus carota L.,2,141.75
2002-05-20,T7,R1,S5,0-5 cm,20,t,28.35,,Erigeron annuus (L.) Pers.,2,141.75
2002-05-20,T7,R1,S5,0-5 cm,20,t,28.35,,Conyza canadensis (L.) Cronq.,1,141.75
2002-05-20,T7,R1,S5,0-5 cm,20,t,28.35,,Hieracium sp. (*),1,141.75
2002-05-20,T7,R1,S5,0-5 cm,20,t,28.35,,Phleum pratense L.,8,141.75
2002-05-20,T7,R1,S5,0-5 cm,20,t,28.35,,Poa compressa L.,1,141.75
2002-05-20,T7,R2,S1,0-5 cm,20,t,28.35,,Trifolium repens L.,1,141.75
2002-05-20,T7,R2,S1,0-5 cm,20,t,28.35,,Veronica peregrina L.,2,141.75
2002-05-20,T7,R2,S1,0-5 cm,20,t,28.35,,Unkown Fabaceae,1,141.75
2002-05-20,T7,R2,S1,0-5 cm,20,t,28.35,,Taraxacum officinale Weber in,2,141.75
2002-05-20,T7,R2,S1,0-5 cm,20,t,28.35,,Euthamia graminifolia (L.) Nutt.,1,141.75
2002-05-20,T7,R2,S1,0-5 cm,20,t,28.35,,Solidago canadensis L.,5,141.75
2002-05-20,T7,R2,S1,0-5 cm,20,t,28.35,,Potentilla norvegica L.,1,141.75
2002-05-20,T7,R2,S1,0-5 cm,20,t,28.35,,Populus deltoides,1,141.75
2002-05-20,T7,R2,S1,0-5 cm,20,t,28.35,,Poa compressa L.,8,141.75
2002-05-20,T7,R2,S1,0-5 cm,20,t,28.35,,Phleum pratense L.,7,141.75
2002-05-20,T7,R2,S1,0-5 cm,20,t,28.35,,Juncus tenuis Willd.,12,141.75
2002-05-20,T7,R2,S1,0-5 cm,20,t,28.35,,Conyza canadensis (L.) Cronq.,1,141.75
2002-05-20,T7,R2,S1,0-5 cm,20,t,28.35,,Erigeron annuus (L.) Pers.,8,141.75
2002-05-20,T7,R2,S1,0-5 cm,20,t,28.35,,Chenopodium album L.,1,141.75
2002-05-20,T7,R2,S1,0-5 cm,20,t,28.35,,Barbarea vulgaris R. Br.,1,141.75
2002-05-20,T7,R2,S1,0-5 cm,20,t,28.35,,Aster pilosus Willd.,1,141.75
2002-05-20,T7,R2,S2,0-5 cm,20,t,28.35,,Aster pilosus Willd.,2,141.75
2002-05-20,T7,R2,S2,0-5 cm,20,t,28.35,,Arabidopsis thaliana (L.) Heynh.,1,141.75
2002-05-20,T7,R2,S2,0-5 cm,20,t,28.35,,Unknown dicot (*),1,141.75
2002-05-20,T7,R2,S2,0-5 cm,20,t,28.35,,Euthamia graminifolia (L.) Nutt.,15,141.75
2002-05-20,T7,R2,S2,0-5 cm,20,t,28.35,,Potentilla norvegica L.,24,141.75
2002-05-20,T7,R2,S2,0-5 cm,20,t,28.35,,Panicum dichotomiflorum Michx.,1,141.75
2002-05-20,T7,R2,S2,0-5 cm,20,t,28.35,,Juncus tenuis Willd.,26,141.75
2002-05-20,T7,R2,S2,0-5 cm,20,t,28.35,,Erigeron annuus (L.) Pers.,14,141.75
2002-05-20,T7,R2,S2,0-5 cm,20,t,28.35,,Daucus carota L.,1,141.75
2002-05-20,T7,R2,S2,0-5 cm,20,t,28.35,,Chenopodium album L.,1,141.75
2002-05-20,T7,R2,S3,0-5 cm,20,t,28.35,,Solidago canadensis L.,11,141.75
2002-05-20,T7,R2,S3,0-5 cm,20,t,28.35,,Aster pilosus Willd.,6,141.75
2002-05-20,T7,R2,S3,0-5 cm,20,t,28.35,,Barbarea vulgaris R. Br.,1,141.75
2002-05-20,T7,R2,S3,0-5 cm,20,t,28.35,,Erigeron annuus (L.) Pers.,1,141.75
2002-05-20,T7,R2,S3,0-5 cm,20,t,28.35,,Medicago lupulina L.,2,141.75
2002-05-20,T7,R2,S3,0-5 cm,20,t,28.35,,Poa compressa L.,2,141.75
2002-05-20,T7,R2,S3,0-5 cm,20,t,28.35,,Potentilla norvegica L.,1,141.75
2002-05-20,T7,R2,S3,0-5 cm,20,t,28.35,,Arabidopsis thaliana (L.) Heynh.,1,141.75
2002-05-20,T7,R2,S3,0-5 cm,20,t,28.35,,Stellaria media (L.) Vill.,1,141.75
2002-05-20,T7,R2,S3,0-5 cm,20,t,28.35,,Veronica peregrina L.,3,141.75
2002-05-20,T7,R2,S4,0-5 cm,20,t,28.35,,Verbascum thapsus L.,5,141.75
2002-05-20,T7,R2,S4,0-5 cm,20,t,28.35,,Arabis glabra (L.) Bernh.,5,141.75
2002-05-20,T7,R2,S4,0-5 cm,20,t,28.35,,Aster pilosus Willd.,1,141.75
2002-05-20,T7,R2,S4,0-5 cm,20,t,28.35,,Barbarea vulgaris R. Br.,7,141.75
2002-05-20,T7,R2,S4,0-5 cm,20,t,28.35,,Erigeron annuus (L.) Pers.,9,141.75
2002-05-20,T7,R2,S4,0-5 cm,20,t,28.35,,Oxalis stricta L.,1,141.75
2002-05-20,T7,R2,S4,0-5 cm,20,t,28.35,,Poa compressa L.,1,141.75
2002-05-20,T7,R2,S4,0-5 cm,20,t,28.35,,Euthamia graminifolia (L.) Nutt.,3,141.75
2002-05-20,T7,R2,S4,0-5 cm,20,t,28.35,,Taraxacum officinale Weber in,1,141.75
2002-05-20,T7,R2,S4,0-5 cm,20,t,28.35,,Solidago canadensis L.,9,141.75
2002-05-20,T7,R2,S4,0-5 cm,20,t,28.35,,Veronica peregrina L.,4,141.75
2002-05-20,T7,R2,S5,0-5 cm,20,t,28.35,,Solidago canadensis L.,2,141.75
2002-05-20,T7,R2,S5,0-5 cm,20,t,28.35,,Erigeron annuus (L.) Pers.,2,141.75
2002-05-20,T7,R2,S5,0-5 cm,20,t,28.35,,Juncus tenuis Willd.,1,141.75
2002-05-20,T7,R2,S5,0-5 cm,20,t,28.35,,Medicago lupulina L.,1,141.75
2002-05-20,T7,R2,S5,0-5 cm,20,t,28.35,,Potentilla norvegica L.,2,141.75
2002-05-20,T7,R2,S5,0-5 cm,20,t,28.35,,Unknown dicot (*),2,141.75
2002-05-20,T7,R3,S1,0-5 cm,20,t,28.35,,Barbarea vulgaris R. Br.,4,141.75
2002-05-20,T7,R3,S1,0-5 cm,20,t,28.35,,Achillea millefolium L.,1,141.75
2002-05-20,T7,R3,S1,0-5 cm,20,t,28.35,,Veronica sp.,2,141.75
2002-05-20,T7,R3,S1,0-5 cm,20,t,28.35,,unknown Asteraceae,6,141.75
2002-05-20,T7,R3,S1,0-5 cm,20,t,28.35,,Trifolium repens L.,1,141.75
2002-05-20,T7,R3,S1,0-5 cm,20,t,28.35,,Stellaria media (L.) Vill.,1,141.75
2002-05-20,T7,R3,S1,0-5 cm,20,t,28.35,,Solidago canadensis L.,1,141.75
2002-05-20,T7,R3,S1,0-5 cm,20,t,28.35,,Potentilla sp.,1,141.75
2002-05-20,T7,R3,S1,0-5 cm,20,t,28.35,,Poa compressa L.,3,141.75
2002-05-20,T7,R3,S1,0-5 cm,20,t,28.35,,Oxalis stricta L.,1,141.75
2002-05-20,T7,R3,S1,0-5 cm,20,t,28.35,,Silene alba (Mill.) E.H.L.Krause,3,141.75
2002-05-20,T7,R3,S1,0-5 cm,20,t,28.35,,Juncus tenuis Willd.,12,141.75
2002-05-20,T7,R3,S1,0-5 cm,20,t,28.35,,Hypericum perforatum L.,1,141.75
2002-05-20,T7,R3,S1,0-5 cm,20,t,28.35,,Erigeron annuus (L.) Pers.,4,141.75
2002-05-20,T7,R3,S1,0-5 cm,20,t,28.35,,Dianthus armeria L.,5,141.75
2002-05-20,T7,R3,S1,0-5 cm,20,t,28.35,,Chenopodium album L.,2,141.75
2002-05-20,T7,R3,S1,0-5 cm,20,t,28.35,,Cerastium vulgatum L.,2,141.75
2002-05-20,T7,R3,S1,0-5 cm,20,t,28.35,,Aster pilosus Willd.,1,141.75
2002-05-20,T7,R3,S2,0-5 cm,20,t,28.35,,Hypericum perforatum L.,2,141.75
2002-05-20,T7,R3,S2,0-5 cm,20,t,28.35,,Juncus tenuis Willd.,16,141.75
2002-05-20,T7,R3,S2,0-5 cm,20,t,28.35,,Achillea millefolium L.,1,141.75
2002-05-20,T7,R3,S2,0-5 cm,20,t,28.35,,Taraxacum officinale Weber in,1,141.75
