"X","ID","Year","SampleID","Species","Abundance"
302032,90,1995,"Atlantic_Bay_of_Biscay_100_44.875_-2.068","Acantharia",1
302033,90,1995,"Atlantic_Bay_of_Biscay_101_43.733_-1.7922","Acantharia",1
302034,90,1995,"Atlantic_Bay_of_Biscay_101_44.875_-2.1363","Acantharia",1
302035,90,1995,"Atlantic_Bay_of_Biscay_104_45.625_-3.2782","Acantharia",1
302036,90,1995,"Atlantic_Bay_of_Biscay_105_45.625_-3.3497","Acantharia",1
302037,90,1995,"Atlantic_Bay_of_Biscay_106_45.625_-3.6378","Acantharia",1
302038,90,1995,"Atlantic_Bay_of_Biscay_31_44.875_-1.366","Acantharia",1
302039,90,1995,"Atlantic_Bay_of_Biscay_34_45.625_-1.5","Acantharia",1
302040,90,1995,"Atlantic_Bay_of_Biscay_44_44.875_-1.4367","Acantharia",1
302041,90,1995,"Atlantic_Bay_of_Biscay_46_43.733_-1.5167","Acantharia",1
302042,90,1995,"Atlantic_Bay_of_Biscay_48_44.875_-1.5083","Acantharia",1
302043,90,1995,"Atlantic_Bay_of_Biscay_48_45.625_-1.5717","Acantharia",1
302044,90,1995,"Atlantic_Bay_of_Biscay_61_45.625_-1.7158","Acantharia",1
302045,90,1995,"Atlantic_Bay_of_Biscay_63_45.625_-1.8522","Acantharia",1
302046,90,1995,"Atlantic_Bay_of_Biscay_65_44.875_-1.5783","Acantharia",1
302047,90,1995,"Atlantic_Bay_of_Biscay_66_45.625_-1.785","Acantharia",1
302048,90,1995,"Atlantic_Bay_of_Biscay_66_45.625_-2.0002","Acantharia",1
302049,90,1995,"Atlantic_Bay_of_Biscay_69_43.733_-1.5867","Acantharia",1
302050,90,1995,"Atlantic_Bay_of_Biscay_70_45.625_-1.9292","Acantharia",1
302051,90,1995,"Atlantic_Bay_of_Biscay_78_44.875_-1.6483","Acantharia",1
302052,90,1995,"Atlantic_Bay_of_Biscay_85_45.625_-2.1417","Acantharia",1
302053,90,1995,"Atlantic_Bay_of_Biscay_86_44.875_-1.7162","Acantharia",1
302054,90,1995,"Atlantic_Bay_of_Biscay_91_43.5247_-3.5705","Acantharia",1
302055,90,1995,"Atlantic_Bay_of_Biscay_94_43.5745_-3.5712","Acantharia",1
302056,90,1995,"Atlantic_Bay_of_Biscay_94_44.875_-2.9783","Acantharia",1
302057,90,1995,"Atlantic_Bay_of_Biscay_95_44.875_-1.7883","Acantharia",1
302058,90,1995,"Atlantic_Bay_of_Biscay_95_45.625_-2.215","Acantharia",1
302059,90,1995,"Atlantic_Bay_of_Biscay_96_43.6247_-3.5735","Acantharia",1
302060,90,1995,"Atlantic_Bay_of_Biscay_97_43.726_-3.577","Acantharia",1
302061,90,1995,"Atlantic_Bay_of_Biscay_98_44.875_-2.2775","Acantharia",1
302062,90,1995,"Atlantic_Bay_of_Biscay_98_44.875_-2.4158","Acantharia",1
302063,90,1995,"Atlantic_Bay_of_Biscay_98_44.875_-2.5573","Acantharia",1
302064,90,1995,"Atlantic_Bay_of_Biscay_98_44.875_-2.6967","Acantharia",1
302065,90,1995,"Atlantic_Bay_of_Biscay_98_44.875_-2.8398","Acantharia",1
302066,90,1995,"Atlantic_Bay_of_Biscay_100_44.875_-1.9283","Acartia",1
302067,90,1995,"Atlantic_Bay_of_Biscay_100_44.875_-2.068","Acartia",1
302068,90,1995,"Atlantic_Bay_of_Biscay_101_43.733_-1.7922","Acartia",1
302069,90,1995,"Atlantic_Bay_of_Biscay_101_43.733_-1.8603","Acartia",1
