"Species","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979"
"Mandarin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,1,0,1
"Sparrowhawk",1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Pheasant",0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,3,4,4,5,0,1,0,1,2,0,1
"Woodcock",0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0
"Stock dove",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
"Woodpigeon",2,2,5,2,5,4,3,1,3,4,4,3,2,3,5,5,7,8,6,13,15,15,10,12,8,10,11,14,6,12
"Turtle dove",0,0,0,1,1,0,0,2,2,0,0,0,0,2,2,2,1,1,1,1,4,5,1,1,1,0,1,0,0,0
"Cuckoo",0,2,0,2,1,2,1,1,0,1,0,2,1,1,1,2,2,1,2,1,2,2,2,2,2,1,1,2,1,2
"Tawny owl",0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Green woodpecker",1,2,2,3,2,2,0,0,1,1,1,1,0,1,0,0,1,1,1,1,2,1,2,1,1,1,0,2,1,1
"Great spotted woodpecker",1,2,2,2,3,3,2,2,2,1,2,2,2,2,2,2,2,3,2,3,3,3,3,3,2,3,3,3,3,3
"Lesser spotted woodpecker",0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,2,1,1,1,2,1,1
"Carrion crow",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,3,2,2,2,1,2,1,2
"Magpie",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,3,1,2,3,2,2,1,2,2,3
"Jay",2,5,6,6,5,7,4,3,4,4,4,4,3,4,7,4,5,5,3,4,7,7,8,5,4,5,5,5,4,5
"Great tit",6,8,8,8.5,11,11,10,12,4.5,11,12,12,11,12,17,17,12,16,19,14,13,13,12,18,19,17,15,14,13,16
"Blue tit",NA,6.5,13.5,9.5,13,16,10,14,13,10.5,16,18,16.5,19,19,22,17,16,20,19,20,15,16,19,26,19,18,15,14,19
"Coal tit",1,4,3,3,2,2,1,2,2,3,2,3,3,2,5,4,3,8,6,7,5,4,7,9,5,6,11,7,7,5
"Marsh tit",2,2,2,4,5,4,2,4,2,3,4,2,5,3,1,1,3,3,3,3,3,2,2,4,2,1,3,2,1,2
"Willow tit",1,1,0,1,1,1,1,2,1,0,1,1,0,1,0,1,1,1,1,2,1,1,2,2,1,1,1,1,1,0
"Long-tailed tit",1,1,2,2,1,2,2,2,2,0,1,1,2,0,0,1,2,2,1,1,2,3,2,3,2,2,2,2,1,1
"Nuthatch",0,1,3,1,2,2,3,4,1,4,4,3,3,2,5,5,5,7,5,3,5,5,4,6,5,4,4,5,3,5
"Treecreeper",1,2,0,2,2,1,2,1,1,2,3,1,3,1,1,2,2,2,4,4,3,5,3,1,2,2,2,1,3,2
"Wren",17,20,20.5,18,10.5,14,11.5,7,16,13,14.5,17,12,1,5.5,11,17,25,26,24,25,17,26,27,27,30,22,23,33,18
"Mistlet hrush",0,0,0,1,1,2,0,0,0,0,0,2,2,2,2,3,2,1,1,2,2,2,2,2,1,1,2,1,2,2
"Song thrush",1,1,7,5,3,5,4,5,4,2,3,6,5,4,7,7,8,10,7,7,7,9,6,6,6,4,4,8,5,4
"Blackbird",5,9,9.5,11.5,8,12.5,8,7.5,11.5,9,7,9,8,8,10,12,11,12,11,13,9,14,12,6,12,12,10,11,11,13
"Nightingale",1,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Robin",22.5,28,28.5,30.5,33,30.5,23,24,32,29,23.5,27,32,21.5,32,37,37,42,43,44,36,44,37,35,38,33,33,34,40,41
"Blackcap",3,3,4,3,2,3,2,3,3,4,2,4,3,5,3,4,7,6,3,6,1,3,4,3,2,2,4,5,4,4
"Garden warbler",3,3,3,3,4,2,4,4,7,3,3,2,4,2,2,4,1,1,1,1,1,0,0,0,1,1,2,2,0,1
"Whitethroat",1,2,1,2,2,2,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Lesser whitethroat",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Willow warbler",16.5,21,16,15,15,11,8.5,17.5,12,5,2.5,2,1.5,2.5,1.5,4,4,2,6,2,2,0,0,0,0,2,1,1,1,2
"Chiffchaff",1,2.5,4.5,2.5,2,5.5,4.5,4.5,1.5,2,3,1,1.5,2,5,7,6,6,3,3,4,1,1,4,4,1,4,3,5,4
"Goldcrest",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,2,1,3,2,2,1,0,1,0
"Spotted Flycatcher",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"Dunnock",NA,2,2,2,4,1,2,4,1,2,0,1,4.5,4,5,5,4,8,6,6,3,2,1,0,3,1,2,2,4,4
"Starling",0,0,0,0,0,0,0,0,0,1,2,3,2,5,5.5,10,6,8,12,7,8,8,6,7,9,9,6,7,7,7
"Haw Finch",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Green Finch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"Redpoll",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
"Bull Finch",2,2,2,4,4,5,3,4,2,3,2,2,1,2,2,2,2,2,2,3,4,1,4,2,2,2,2,2,0,2
"Chaf Finch",9.5,11,12.5,9.5,9,8,8,6,4.5,2,2.5,4.5,7,5.5,7,8,7,6,4,4,3,6,8,3,1,3,3,3,3,2
"House sparrow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
