"site","species","year","count"
"d228_hb","Yellow-b.Sapsucker",1969,6
"d228_hb","Hairy Woodpecker",1969,2
"d228_hb","Downy Woodpecker",1969,6
"d228_hb","Least Flycatcher",1969,26
"d228_hb","Wood Pewee",1969,1
"d228_hb","Black-c. Chickadee",1969,4
"d228_hb","Brown Creeper",1969,2
"d228_hb","White-br. Nuthatch",1969,8
"d228_hb","Winter Wren",1969,1
"d228_hb","Wood Thrush",1969,7
"d228_hb","Hermit Thrush",1969,6
"d228_hb","Veery",1969,2
"d228_hb","Swainson's Thrush",1969,9
"d228_hb","Philadelphia Vireo",1969,4
"d228_hb","Red-eyed Vireo",1969,20
"d228_hb","Bk.-thr. Green Warbler",1969,8
"d228_hb","Bk.-thr. Blue Warbler",1969,4
"d228_hb","Blackburnian Warbler",1969,2
"d228_hb","Ovenbird",1969,6
"d228_hb","American Redstart",1969,12
"d228_hb","Scarlet Tanager",1969,4
"d228_hb","Rose-br. Grosbeak",1969,8
"d228_hb","Dark-eyed Junco",1969,8
"d228_hb","Purple Finch",1969,2
"d228_hb","Yellow-b.Sapsucker",1970,3
"d228_hb","Hairy Woodpecker",1970,1
"d228_hb","Downy Woodpecker",1970,3
"d228_hb","Least Flycatcher",1970,28
"d228_hb","Black-c. Chickadee",1970,1
"d228_hb","White-br. Nuthatch",1970,2
"d228_hb","Winter Wren",1970,0.5
"d228_hb","Robin",1970,0.5
"d228_hb","Wood Thrush",1970,6
"d228_hb","Hermit Thrush",1970,8
"d228_hb","Veery",1970,2
"d228_hb","Swainson's Thrush",1970,8
"d228_hb","Philadelphia Vireo",1970,7
"d228_hb","Red-eyed Vireo",1970,24
"d228_hb","Bk.-thr. Green Warbler",1970,9
"d228_hb","Bk.-thr. Blue Warbler",1970,8
"d228_hb","Blackburnian Warbler",1970,5.5
"d228_hb","Ovenbird",1970,6
"d228_hb","American Redstart",1970,26
"d228_hb","Scarlet Tanager",1970,6
"d228_hb","Rose-br. Grosbeak",1970,4
"d228_hb","Dark-eyed Junco",1970,4
"d228_hb","Yellow-b.Sapsucker",1971,4
"d228_hb","Hairy Woodpecker",1971,1
"d228_hb","Downy Woodpecker",1971,3
"d228_hb","Least Flycatcher",1971,43
"d228_hb","Wood Pewee",1971,1
"d228_hb","Black-c. Chickadee",1971,0.5
"d228_hb","Brown Creeper",1971,0.5
"d228_hb","White-br. Nuthatch",1971,2
"d228_hb","Winter Wren",1971,1.5
"d228_hb","Robin",1971,4.5
"d228_hb","Wood Thrush",1971,9
"d228_hb","Hermit Thrush",1971,7
"d228_hb","Veery",1971,5
"d228_hb","Swainson's Thrush",1971,11
"d228_hb","Philadelphia Vireo",1971,5
"d228_hb","Red-eyed Vireo",1971,29
"d228_hb","Bk.-thr. Green Warbler",1971,12
"d228_hb","Bk.-thr. Blue Warbler",1971,11
"d228_hb","Blackburnian Warbler",1971,4
"d228_hb","Ovenbird",1971,9
"d228_hb","American Redstart",1971,29
"d228_hb","Scarlet Tanager",1971,5
"d228_hb","Rose-br. Grosbeak",1971,6
"d228_hb","Dark-eyed Junco",1971,8
"d228_hb","Purple Finch",1971,1
"d228_hb","Yellow-b.Sapsucker",1972,4
"d228_hb","Hairy Woodpecker",1972,2
"d228_hb","Downy Woodpecker",1972,2
"d228_hb","Least Flycatcher",1972,49.5
"d228_hb","Black-c. Chickadee",1972,0.5
"d228_hb","White-br. Nuthatch",1972,2
"d228_hb","Winter Wren",1972,0.5
"d228_hb","Robin",1972,1.5
"d228_hb","Wood Thrush",1972,7
"d228_hb","Hermit Thrush",1972,7
"d228_hb","Veery",1972,2
"d228_hb","Swainson's Thrush",1972,11
"d228_hb","Philadelphia Vireo",1972,8
"d228_hb","Solitary Vireo",1972,0.5
"d228_hb","Red-eyed Vireo",1972,22
"d228_hb","Bk.-thr. Green Warbler",1972,7
"d228_hb","Bk.-thr. Blue Warbler",1972,9
"d228_hb","Yellow-r. Warbler",1972,1
"d228_hb","Blackburnian Warbler",1972,7
"d228_hb","Ovenbird",1972,9
"d228_hb","American Redstart",1972,29
"d228_hb","Scarlet Tanager",1972,8
"d228_hb","Rose-br. Grosbeak",1972,10
"d228_hb","Dark-eyed Junco",1972,8
"d228_hb","Purple Finch",1972,6
"d228_hb","Yellow-b.Sapsucker",1973,4
"d228_hb","Hairy Woodpecker",1973,2
"d228_hb","Downy Woodpecker",1973,2
"d228_hb","Least Flycatcher",1973,57
"d228_hb","Brown Creeper",1973,0.5
"d228_hb","White-br. Nuthatch",1973,1
"d228_hb","Winter Wren",1973,3
"d228_hb","Wood Thrush",1973,4
"d228_hb","Hermit Thrush",1973,4
"d228_hb","Veery",1973,1
"d228_hb","Swainson's Thrush",1973,9
"d228_hb","Philadelphia Vireo",1973,4
"d228_hb","Solitary Vireo",1973,1
"d228_hb","Red-eyed Vireo",1973,26
"d228_hb","Bk.-thr. Green Warbler",1973,6
"d228_hb","Bk.-thr. Blue Warbler",1973,11
"d228_hb","Blackburnian Warbler",1973,4
"d228_hb","Ovenbird",1973,11
"d228_hb","American Redstart",1973,26
"d228_hb","Scarlet Tanager",1973,7
"d228_hb","Rose-br. Grosbeak",1973,4.5
"d228_hb","Dark-eyed Junco",1973,2
"d228_hb","Purple Finch",1973,2
