datasetID,site,spRich,nTime,meanAbundance,scale,area,RSG,unit
208,1,19,12,181.1666667,1,1,1,m2
208,2,20,14,168.2857143,1,1,1,m2
208,3,20,13,189.9230769,1,1,1,m2
208,4,21,13,190.3076923,1,1,1,m2
208,5,20,12,199.6666667,1,1,1,m2
208,CF_1,6,6,40.83333333,2,30,1,m2
208,CF_2,5,5,32,2,30,1,m2
208,CF_3,10,5,37.6,2,30,1,m2
208,CF_4,5,6,31.83333333,2,30,1,m2
208,CF_5,9,5,60,2,30,1,m2
208,DF_1,6,8,19.25,2,30,1,m2
208,DF_2,5,8,20.375,2,30,1,m2
208,DF_3,7,5,34.4,2,30,1,m2
208,DF_4,7,5,25.6,2,30,1,m2
208,DF_5,6,5,38.8,2,30,1,m2
208,SF_1,8,9,21.77777778,2,30,1,m2
208,SF_2,7,3,20.66666667,2,30,1,m2
208,SF_3,10,7,18.85714286,2,30,1,m2
208,SF_4,8,6,21.16666667,2,30,1,m2
208,SF_5,7,4,47.5,2,30,1,m2
208,T1_1,14,12,56.41666667,2,30,1,m2
208,T1_2,15,12,51.41666667,2,30,1,m2
208,T1_3,15,13,51.69230769,2,30,1,m2
208,T1_4,15,13,55.84615385,2,30,1,m2
208,T1_5,15,10,66.7,2,30,1,m2
208,T2_1,11,11,52.54545455,2,30,1,m2
208,T2_2,14,10,49.7,2,30,1,m2
208,T2_3,13,11,47.63636364,2,30,1,m2
208,T2_4,11,10,51.5,2,30,1,m2
208,T2_5,13,10,53.1,2,30,1,m2
208,T3_1,15,9,55.88888889,2,30,1,m2
208,T3_2,14,7,66.28571429,2,30,1,m2
208,T3_3,12,9,55.88888889,2,30,1,m2
208,T3_4,14,8,66.25,2,30,1,m2
208,T3_5,14,9,55,2,30,1,m2
208,T4_1,13,9,45.66666667,2,30,1,m2
208,T4_2,14,9,50.88888889,2,30,1,m2
208,T4_3,14,9,45.66666667,2,30,1,m2
208,T4_4,15,9,44.55555556,2,30,1,m2
208,T4_5,14,9,49.77777778,2,30,1,m2
208,T5_1,16,21,35.19047619,2,30,1,m2
208,T5_2,15,22,35.18181818,2,30,1,m2
208,T5_3,18,23,35.26086957,2,30,1,m2
208,T5_4,16,21,36.42857143,2,30,1,m2
208,T5_5,18,23,37.82608696,2,30,1,m2
208,T6_1,15,12,47.75,2,30,1,m2
208,T6_2,15,12,50.16666667,2,30,1,m2
208,T6_3,13,13,51.46153846,2,30,1,m2
208,T6_4,16,12,52.08333333,2,30,1,m2
208,T6_5,13,11,50.36363636,2,30,1,m2
208,T7_1,17,24,49.5,2,30,1,m2
208,T7_2,16,23,48.39130435,2,30,1,m2
208,T7_3,17,23,48.30434783,2,30,1,m2
208,T7_4,18,22,47.72727273,2,30,1,m2
208,T7_5,16,23,53.43478261,2,30,1,m2
208,1_CF_1,11,11,12.36363636,3,210,1,m2
208,1_CF_2,9,8,13.25,3,210,1,m2
208,1_CF_3,8,6,15.33333333,3,210,1,m2
208,1_CF_5,11,9,11.33333333,3,210,1,m2
208,1_DF_1,9,8,10.5,3,210,1,m2
208,1_DF_4,7,10,12.1,3,210,1,m2
208,1_SF_1,9,10,10.4,3,210,1,m2
208,1_SF_2,12,11,13.63636364,3,210,1,m2
