"taxa","datasetID","site","system","nTime","spRichTotal","spRichCore33","spRichTrans33","propCore33","color","pch","abbrev","level_trans","pTrans"
"Benthos",244,"9","Marine",30,23,11,10,0.478260869565217,"azure4",1,"Be","propTrans33",0.434782608695652
"Benthos",244,"10","Marine",26,26,16,4,0.615384615384615,"azure4",1,"Be","propTrans33",0.153846153846154
"Benthos",244,"7","Marine",30,25,13,9,0.52,"azure4",1,"Be","propTrans33",0.36
"Benthos",244,"24","Marine",7,18,15,3,0.833333333333333,"azure4",1,"Be","propTrans33",0.166666666666667
"Benthos",244,"8","Marine",30,24,13,9,0.541666666666667,"azure4",1,"Be","propTrans33",0.375
"Benthos",244,"26","Marine",7,19,15,2,0.789473684210526,"azure4",1,"Be","propTrans33",0.105263157894737
"Benthos",244,"11","Marine",30,25,14,5,0.56,"azure4",1,"Be","propTrans33",0.2
"Benthos",244,"12","Marine",30,24,11,8,0.458333333333333,"azure4",1,"Be","propTrans33",0.333333333333333
"Benthos",327,"7","Freshwater",18,7,2,4,0.285714285714286,"azure4",1,"Be","propTrans33",0.571428571428571
"Benthos",244,"25","Marine",7,20,15,2,0.75,"azure4",1,"Be","propTrans33",0.1
"Benthos",327,"12","Freshwater",22,8,3,4,0.375,"azure4",1,"Be","propTrans33",0.5
"Benthos",244,"23","Marine",7,19,15,2,0.789473684210526,"azure4",1,"Be","propTrans33",0.105263157894737
"Benthos",244,"27","Marine",7,18,15,3,0.833333333333333,"azure4",1,"Be","propTrans33",0.166666666666667
"Benthos",244,"13","Marine",30,25,16,9,0.64,"azure4",1,"Be","propTrans33",0.36
"Benthos",244,"14","Marine",30,25,15,8,0.6,"azure4",1,"Be","propTrans33",0.32
"Benthos",244,"15","Marine",30,25,9,12,0.36,"azure4",1,"Be","propTrans33",0.48
"Benthos",244,"16","Marine",26,24,8,10,0.333333333333333,"azure4",1,"Be","propTrans33",0.416666666666667
"Benthos",244,"21","Marine",11,20,16,3,0.8,"azure4",1,"Be","propTrans33",0.15
"Benthos",244,"3","Marine",30,23,17,3,0.739130434782609,"azure4",1,"Be","propTrans33",0.130434782608696
"Benthos",244,"29","Marine",7,16,14,2,0.875,"azure4",1,"Be","propTrans33",0.125
"Benthos",244,"37","Marine",7,21,14,4,0.666666666666667,"azure4",1,"Be","propTrans33",0.19047619047619
"Benthos",244,"6","Marine",30,26,16,6,0.615384615384615,"azure4",1,"Be","propTrans33",0.230769230769231
"Benthos",327,"9","Freshwater",22,5,3,2,0.6,"azure4",1,"Be","propTrans33",0.4
"Benthos",244,"34","Marine",7,21,16,4,0.761904761904762,"azure4",1,"Be","propTrans33",0.19047619047619
"Benthos",244,"30","Marine",7,17,15,1,0.882352941176471,"azure4",1,"Be","propTrans33",0.0588235294117647
"Benthos",244,"32","Marine",7,20,15,4,0.75,"azure4",1,"Be","propTrans33",0.2
