,datasetID,site,system,taxa,nTime,spRichTotal,spRichCore,spRichTrans,propCore,propCore_pVal,propTrans,propTrans_pVal,meanAbundance,mu,bimodality,pBimodal,alpha,beta
1,33, L4_Station_English_Channel_10L_sample_at_10m_subsample_analyzed ,Marine,Plankton,18,157,40,8,0.25477707,0.011,0.050955414,0.486,18003537.56,0.613941967,0.449412573,0.061,0.904709853,0.514926868
2,41,censusbreedingbirdsNeotoma,Terrestrial,Bird,10,56,30,3,0.535714286,0.15,0.053571429,0.781,115.1,0.746428571,0.486709499,0.085,1.061736358,0.372732524
3,46,Skokholm,Terrestrial,Bird,47,29,7,11,0.24137931,0.154,0.379310345,0.01,186.3617021,0.387380778,0.623958052,0.002,0.481219252,0.569833385
4,47,Lousana,Terrestrial,Bird,9,13,11,0,0.846153846,0.112,0,0.999,367,0.974358974,0.020833333,0.972,29.63729153,1.999183993
5,47,Redvers,Terrestrial,Bird,26,13,9,0,0.692307692,0,0,0.999,276.7692308,0.822485207,0.335314286,0.275,2.010620429,0.600284296
6,70, Belgium ,Terrestrial,Invertebrate,14,25,9,0,0.36,0.135,0,0.999,25364.78571,0.865714286,0.049916553,0.977,8.786844869,1.524960416
7,207,Toolik_B1,Terrestrial,Plant,6,17,5,0,0.294117647,0.32,0,0.999,128.7396,0.480392157,0.791111111,0.031,0.774926175,0.662589911
8,207,Toolik_B2,Terrestrial,Plant,6,14,6,0,0.428571429,0.199,0,0.999,112.9118333,0.55952381,0.859591837,0.013,0.830525727,0.569749836
9,207,Toolik_B3,Terrestrial,Plant,6,15,6,0,0.4,0.314,0,0.999,100.0701667,0.522222222,0.897142857,0.031,0.753080651,0.568813576
10,207,Toolik_B4,Terrestrial,Plant,6,15,6,0,0.4,0.317,0,0.999,130.2425,0.533333333,0.861428571,0.03,0.790056361,0.577925039
11,208,CF,Terrestrial,Invertebrate,6,13,3,0,0.230769231,0.335,0,0.999,120.1666667,0.41025641,0.659047619,0.069,0.850795845,0.915322603
12,208,DF,Terrestrial,Invertebrate,7,10,1,0,0.1,0.733,0,0.999,106.2857143,0.371428571,0.515555556,0.13,1.06742618,1.44254438
13,208,SF,Terrestrial,Invertebrate,6,12,0,0,0,0.999,0,0.999,105.8333333,0.402777778,0.278888889,0.645,2.352481327,3.379521668
14,208,T1,Terrestrial,Invertebrate,11,17,2,4,0.117647059,0.593,0.235294118,0.096,180.9090909,0.379679144,0.407222222,0.308,1.035015307,1.419201731
15,208,T2,Terrestrial,Invertebrate,10,16,2,4,0.125,0.771,0.25,0.2,228.6,0.43125,0.368634259,0.437,1.402761341,1.74377984
16,208,T3,Terrestrial,Invertebrate,9,17,1,0,0.058823529,0.778,0,0.999,185.5555556,0.418300654,0.527777778,0.133,0.959178258,1.147523115
17,208,T4,Terrestrial,Invertebrate,7,13,1,0,0.076923077,0.999,0,0.999,173,0.417582418,0.455026455,0.275,1.219768293,1.481715386
18,208,T5,Terrestrial,Invertebrate,21,19,1,6,0.052631579,0.916,0.315789474,0.018,154.7142857,0.330827068,0.360444444,0.376,0.979920344,1.766132122
19,208,T6,Terrestrial,Invertebrate,13,16,3,1,0.1875,0.319,0.0625,0.697,184.8461538,0.394230769,0.440538194,0.191,0.995850666,1.256220923
