Dataset Name,Link,System,Taxa,Number of Sites,Number of Years,Number of Species,Raw Spatial Grain,Raw Spatial Grain Unit,Spatial Subsamples,Grain of Analysis,Multiscale,Citation,,Dataset ID
North American Breeding Bird Survey,https://www.pwrc.usgs.gov/bbs/,Terrestrial,Bird,850,15,405,NA,NA,NA,NA,Y,Pardieck et al. 2016,,1
Western English Channel phytoplankton,http://plankt.oxfordjournals.org/content/32/5/643.full#sec-5,Marine,Plankton,1,18,157,100,ml,1,100,N,Widdicombe et al. 2010,,33
Breeding Birds from Preston 1948,http://www.jstor.org/stable/1931793,Terrestrial,Bird,1,10,56,69,acres,1,69,N,"Preston, 1960",,41
Skokholm birds,http://ecologicaldata.org/wiki/skokholm-bird-observatory,Terrestrial,Bird,1,47,29,1,km2,1,1,N,"Williamson, 1983",,46
Canadian duck censuses,http://ecologicaldata.org/wiki/redvers-waterfowl-census,Terrestrial,Bird,2,26,13,11.94,km2,1,11.94,N,Vickery et al. 1984,,47
Belgian Migrating Lepidoptera Survey,https://web.archive.org/web/19990220041409/http://users.skynet.be/bs663526/,Terrestrial,Invertebrate,1,14,25,30528,km2,1,30528,N,"Vanholder, 1997",,70
"Above ground plant biomass in a mesic acidic tussock tundra experimental site from 1982 to 2000 Arctic LTER, Toolik Lake, Alaska",http://arc-lter.ecosystems.mbl.edu/19822000gs81tusbm,Terrestrial,Plant,4,6,24,0.8,m2,7,5.6,Y,"Shaver, 2006",,207
Insect Populations via Sticky Traps at KBS-LTER,http://lter.kbs.msu.edu/datatables/67,Terrestrial,Invertebrate,10,23,20,1,m2,11,11,Y,"Landis and S. Gage, 2015",acknowledgement request,208
"Long-Term Nitrogen Deposition: Population, Community, and Ecosystem Consequences - Experiment 001",https://www.cedarcreek.umn.edu/research/data/dataset?ple001,Terrestrial,Plant,3,30,148,16,m2,54,864,Y,"Tilman, 2012",acknowledgement request,210
Long-term mapped quadrats from Kansas prairie: demographic information for herbaceaous Plant. Ecology 88:2673.,http://esapubs.org/archive/ecol/E088/161/,Terrestrial,Plant,51,41,137,1,m2,1,1,Y,Adler et al. 2007,,213
Plant species composition on selected watersheds at Konza Prairie,http://lter.konza.ksu.edu/content/pvc02-plant-species-composition-selected-watersheds-konza-prairie,Terrestrial,Plant,4,18,294,10,m2,5,50,Y,Briggs et al. 2002,acknowledgement request,217
Lac Croche understory vegetation data set,http://www.esapubs.org/archive/ecol/E088/197/default.htm,Terrestrial,Plant,43,8,83,400,m2,1,400,Y,Paquette et al. 2007,,218
"Portal Plants, summer",http://esapubs.org/archive/ecol/E090/118/metadata.htm,Terrestrial,Plant,24,14,105,0.0625,m2,16,1,Y,Ernest et al. 2009,,221
Mapped quadrats in sagebrush steppe: long-term data for analyzing demographic rates and plant–plant interactions,http://onlinelibrary.wiley.com/doi/10.1890/10-0404.1/abstract,Terrestrial,Plant,1,17,18,1,m2,22,22,Y,Zachmann et al. 2016,,222
"Small Mammal Exclosure Study (SMES) Vegetation Data from the Chihuahuan Desert Grassland and Shrubland at the Sevilleta National Wildlife Refuge, New Mexico (2006-2009)",http://repository.unm.edu/handle/1928/29843,Terrestrial,Plant,7,15,101,1,m2,48,48,Y,"Lightfoot, 2010",,223
One hundred and six years of population and community dynamics of Sonoran Desert Laboratory perennials. Ecology 94:976. http://dx.doi.org/10.1890/12-1164.1,http://esapubs.org/archive/ecol/E094/083/,Terrestrial,Plant,2,28,58,100,m2,1,100,N,Rodriguez-Buritica et al. 2013,,224
A 12-year study on the scaling of vascular plant composition in an Oklahoma tallgrass prairie.,http://esapubs.org/Archive/ecol/E091/124/default.htm#data,Terrestrial,Plant,20,12,318,100,m2,1,100,Y,McGlinn et al. 2010,,225
Eastern Wood Breeding Bird Data,http://onlinelibrary.wiley.com/doi/10.1002/9780470999592.app2/pdf,Terrestrial,Bird,1,29,45,16,ha,1,16,N,Gaston et al. 2000,,226
