"site","N","h","nr","nl","Pc","Pr","Pl","bimodality"
"d226_ew",45,0.333333333333333,29,9,7.15136038707416e-06,1.93454075585632e-05,0.983644256944837,"not bimodal"
"d228_hb",31,0.333333333333333,16,9,0.00677520524844039,0.0270240927271953,0.753728666472986,"not bimodal"
"d228_mk",29,0.333333333333333,14,12,0.000785323746341196,0.0681695502290056,0.23208579195313,"bimodal"
"d228_rp",27,0.333333333333333,15,9,0.000808959439197375,0.0143789585897854,0.571898864497493,"not bimodal"
"d228_sm",21,0.333333333333333,11,5,0.030876182546816,0.0557229722255298,0.878843941174327,"not bimodal"
"d232_5pgrass",22,0.333333333333333,5,15,0.000175086535268689,0.903842011022007,0.000878806558593412,"not bimodal"
"d232_5plarrea",25,0.333333333333333,4,15,0.00444195052672095,0.985109599856072,0.00560007864866641,"not bimodal"
"d232_blugrama",7,0.333333333333333,3,2,0.249657064471879,0.429355281207133,0.736625514403292,"not bimodal"
"d232_goatdraw",15,0.333333333333333,3,7,0.161118055890947,0.92064287544689,0.203038949238433,"not bimodal"
"d232_rsgrass",20,0.333333333333333,10,8,0.00348513260427426,0.0918957744872624,0.338528517180894,"weakly bimodal"
"d232_rslarrea",23,0.333333333333333,5,12,0.0318849621013552,0.924210808675672,0.0480499535639501,"not bimodal"
"d232_savanna",13,0.333333333333333,5,2,0.416584343323153,0.447961297679329,0.961463266853706,"not bimodal"
"d232_two22",20,0.333333333333333,4,12,0.00758434590690943,0.939553539375836,0.0129732968253003,"not bimodal"
"d234_pm",18,0.333333333333333,8,9,0.00136791423026674,0.223260161648291,0.107602385995646,"bimodal"
"d236_1",11,0.333333333333333,5,4,0.0748869582888787,0.288997273450863,0.527443309793561,"not bimodal"
"d236_10",11,0.333333333333333,6,4,0.0175108807939169,0.122085048010974,0.527443309793561,"not bimodal"
"d236_11",9,0.333333333333333,5,2,0.0893156531016613,0.144845806025504,0.856932378194381,"not bimodal"
"d236_12",11,0.333333333333333,5,4,0.0748869582888787,0.288997273450863,0.527443309793561,"not bimodal"
"d236_13",10,0.333333333333333,4,3,0.237463801249809,0.440735660214398,0.700858608951888,"not bimodal"
"d236_14",12,0.333333333333333,5,5,0.0568793149192478,0.368479285565096,0.368479285565096,"weakly bimodal"
"d236_15",10,0.333333333333333,5,3,0.0880963267794543,0.213128080069095,0.700858608951888,"not bimodal"
"d236_16",10,0.333333333333333,4,3,0.237463801249809,0.440735660214398,0.700858608951888,"not bimodal"
"d236_17",9,0.333333333333333,5,2,0.0893156531016613,0.144845806025504,0.856932378194381,"not bimodal"
"d236_18",8,0.333333333333333,5,1,0.0737692424935223,0.0879439109891785,0.960981557689377,"not bimodal"
"d236_19",8,0.333333333333333,5,1,0.0737692424935223,0.0879439109891785,0.960981557689377,"not bimodal"
"d236_2",10,0.333333333333333,4,3,0.237463801249809,0.440735660214398,0.700858608951888,"not bimodal"
"d236_20",10,0.333333333333333,7,3,0.00203221053701163,0.0196616369455876,0.700858608951888,"not bimodal"
"d236_3",9,0.333333333333333,5,2,0.0893156531016613,0.144845806025504,0.856932378194381,"not bimodal"
"d236_4",10,0.333333333333333,4,3,0.237463801249809,0.440735660214398,0.700858608951888,"not bimodal"
"d236_5",9,0.333333333333333,3,2,0.499009297363207,0.622821724330641,0.856932378194381,"not bimodal"
"d236_6",9,0.333333333333333,4,2,0.255753696082914,0.349692628156277,0.856932378194381,"not bimodal"
"d236_7",9,0.333333333333333,4,2,0.255753696082914,0.349692628156277,0.856932378194381,"not bimodal"
"d236_8",9,0.333333333333333,3,2,0.499009297363207,0.622821724330641,0.856932378194381,"not bimodal"
"d236_9",10,0.333333333333333,5,3,0.0880963267794543,0.213128080069095,0.700858608951888,"not bimodal"
"d241_1",19,0.333333333333333,19,0,8.60391597237732e-10,8.60391597237732e-10,1,"not bimodal"
"d241_2",19,0.333333333333333,19,0,8.60391597237732e-10,8.60391597237732e-10,1,"not bimodal"
"d241_3",19,0.333333333333333,19,0,8.60391597237732e-10,8.60391597237732e-10,1,"not bimodal"
"d241_4",19,0.333333333333333,19,0,8.60391597237732e-10,8.60391597237732e-10,1,"not bimodal"
"d241_5",19,0.333333333333333,19,0,8.60391597237732e-10,8.60391597237732e-10,1,"not bimodal"
