"datasetID","site","species","propOcc"
41," censusbreedingbirds_Neotoma "," Accipiter_striatus",0.2
41," censusbreedingbirds_Neotoma "," Baeolophus_bicolor",1
41," censusbreedingbirds_Neotoma "," Bonasa_umbellus",0.2
41," censusbreedingbirds_Neotoma "," Bubo_spec",0.3
41," censusbreedingbirds_Neotoma "," Caprimulgus_vociferus",1
41," censusbreedingbirds_Neotoma "," Cardinalidae",1
41," censusbreedingbirds_Neotoma "," Cathartes_aura",0.3
41," censusbreedingbirds_Neotoma "," Coccyzus_americanus",0.7
41," censusbreedingbirds_Neotoma "," Coccyzus_erythropthalmus",0.8
41," censusbreedingbirds_Neotoma "," Colaptes_auratus",0.5
41," censusbreedingbirds_Neotoma "," Contopus_spec",0.9
41," censusbreedingbirds_Neotoma "," Coragyps_atratus",0.8
41," censusbreedingbirds_Neotoma "," Corvus_spec",0.6
41," censusbreedingbirds_Neotoma "," Cyanocitta_cristata",0.2
41," censusbreedingbirds_Neotoma "," Dendroica_cerulea",1
41," censusbreedingbirds_Neotoma "," Dendroica_discolor",1
41," censusbreedingbirds_Neotoma "," Dendroica_petechia",0.1
41," censusbreedingbirds_Neotoma "," Dryocopus_pileatus",0.2
41," censusbreedingbirds_Neotoma "," Dumetella_carolinensis",0.3
41," censusbreedingbirds_Neotoma "," Empidonax_virescens",1
41," censusbreedingbirds_Neotoma "," Geothlypis_trichas",0.7
41," censusbreedingbirds_Neotoma "," Helmitheros_vermivorum",1
41," censusbreedingbirds_Neotoma "," Hylocichla_mustelina",1
41," censusbreedingbirds_Neotoma "," Megascops_spec",0.2
41," censusbreedingbirds_Neotoma "," Melanerpus_carolinus",0.1
41," censusbreedingbirds_Neotoma "," Melospiza_melodia",0.7
41," censusbreedingbirds_Neotoma "," Mniotilta_varia",1
41," censusbreedingbirds_Neotoma "," Myiarchus_crinitus",1
41," censusbreedingbirds_Neotoma "," Oporornis_formosus",0.8
41," censusbreedingbirds_Neotoma "," Parkesia_motacilla",1
41," censusbreedingbirds_Neotoma "," Passer_domesticus",0.1
41," censusbreedingbirds_Neotoma "," Passerina_cyanea",1
41," censusbreedingbirds_Neotoma "," Picoides_pubescens",0.9
41," censusbreedingbirds_Neotoma "," Picoides_villosus",0.5
41," censusbreedingbirds_Neotoma "," Pipilo_spec",1
41," censusbreedingbirds_Neotoma "," Piranga_olivacea",1
41," censusbreedingbirds_Neotoma "," Piranga_rubra",1
41," censusbreedingbirds_Neotoma "," Poecile_carolinensis",1
41," censusbreedingbirds_Neotoma "," Polioptilidae",1
41," censusbreedingbirds_Neotoma "," Saxicolinae",1
41," censusbreedingbirds_Neotoma "," Sayornis_spec",1
41," censusbreedingbirds_Neotoma "," Seiurus_aurocapilla",1
41," censusbreedingbirds_Neotoma "," Sialia_spec",0.7
41," censusbreedingbirds_Neotoma "," Sitta_carolinensis",1
41," censusbreedingbirds_Neotoma "," Spizella_passerina",1
41," censusbreedingbirds_Neotoma "," Spizella_pusilla",1
41," censusbreedingbirds_Neotoma "," Thryomanes_bewickii",0.4
41," censusbreedingbirds_Neotoma "," Thryothorus_ludovicianus",0.5
41," censusbreedingbirds_Neotoma "," Trochilidae",1
41," censusbreedingbirds_Neotoma "," Turdus_migratorius",0.8
41," censusbreedingbirds_Neotoma "," Vermivora_cyanoptera",1
41," censusbreedingbirds_Neotoma "," Vireo_flavifrons",0.6
41," censusbreedingbirds_Neotoma "," Vireo_griseus",0.8
41," censusbreedingbirds_Neotoma "," Vireo_olivaceus",1
41," censusbreedingbirds_Neotoma "," Wilsonia_citrina",0.9
41," censusbreedingbirds_Neotoma "," Zenaida_macroura",1
