"Group","Kingdom","Phylum","Class","Order","Family","Genus","Species","Forma","AuthorComments","Author","SpeciesID","Carbon","Biovolume"
"Diatom","Chromista","Haptophyta","Haptophyta incertae sedis",NA,"Ceratolithaceae","Ceratolithus","cristatus",NA,NA,"Derek S.Harbour",1,637.915702740933,4188.79020478639
"Diatom","Chromista","Haptophyta","Prymnesiophyceae","Syracosphaerales","Syracosphaeraceae","Syracosphaera","anthos",NA,NA,"Derek S.Harbour",2,90,521.529963894225
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae",NA,NA,NA,NA,NA,"10μm Centric","Derek S.Harbour",3,21,159.558566046822
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae",NA,NA,NA,NA,NA,"10μm Centric","Derek S.Harbour",3,42.3948868196858,402.123859659494
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae",NA,NA,NA,NA,NA,"15μm Centric","Derek S.Harbour",4,178,2656.05366213118
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae",NA,NA,NA,NA,NA,"20μm Centric","Derek S.Harbour",5,119.412861786555,1570.79632679489
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae",NA,NA,NA,NA,NA,"2μm Centric","Derek S.Harbour",6,0.626687607153591,1.5707963267949
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae",NA,NA,NA,NA,NA,"30μm Centric","Derek S.Harbour",7,316.11201792122,5654.86677646163
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae",NA,NA,NA,NA,NA,"30μm Centric","Derek S.Harbour",7,402.671653195553,7775.44181763474
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae",NA,NA,NA,NA,NA,"30μm Centric","Derek S.Harbour",7,403,7783.78533399058
"Ciliates","Chromista","Ciliophora","Litostomatea","Cyclotrichiida","Mesodiniidae","Mesodinium",NA,NA,"sp.Small","Derek S.Harbour",8,90.3355524765434,523.598775598298
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae",NA,NA,NA,NA,NA,"40μm Centric","Derek S.Harbour",9,489.494579316715,10053.0964914873
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae",NA,NA,NA,NA,NA,"40μm Centric","Derek S.Harbour",9,640.288406040592,14313.8815279185
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae",NA,NA,NA,NA,NA,"40μm Centric","Derek S.Harbour",9,666,15074.9390428096
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae",NA,NA,NA,NA,NA,"45μm Centric","Derek S.Harbour",10,640.288406040592,14313.8815279185
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae",NA,NA,NA,NA,NA,"4μm Centric","Derek S.Harbour",11,5.1544495512689,25.1327412287183
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae",NA,NA,NA,NA,NA,"50μm Centric","Derek S.Harbour",12,1107.98038839823,29452.4311274043
"Ciliates","Chromista","Ciliophora",NA,NA,NA,NA,NA,NA,NA,"Derek S.Harbour",13,2142.04216265649,15196.0925817699
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae",NA,NA,NA,NA,NA,"5μm Centric","Derek S.Harbour",14,70.5128567251103,785.398163397449
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae",NA,NA,NA,NA,NA,"5μm Centric","Derek S.Harbour",14,9.84724787261565,58.9048622548086
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae",NA,NA,NA,NA,NA,"60μm Centric","Derek S.Harbour",15,1461.79868647024,42411.5008234621
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae",NA,NA,NA,NA,NA,"60μm Centric","Derek S.Harbour",15,1462,42419.1861953682
"Ciliates","Chromista","Ciliophora",NA,NA,NA,NA,NA,NA,NA,"Derek S.Harbour",13,505.808264717316,3272.49234748937
"Ciliates","Chromista","Ciliophora",NA,NA,NA,NA,NA,NA,NA,"Derek S.Harbour",13,506,3273.81203818962
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae",NA,NA,NA,NA,NA,"70μm Centric","Derek S.Harbour",16,1847.76479157185,57726.7650097123
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae",NA,NA,NA,NA,NA," Undet. Solenoid","Derek S.Harbour",17,14.0749239466344,94.2477796076938
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae","Pennales",NA,NA,NA,NA,"30μm ","Derek S.Harbour",18,67,734.3242971688
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae","Pennales",NA,NA,NA,NA,"50μm ","Derek S.Harbour",19,66.9312727977619,733.333333333334
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae","Pennales",NA,NA,NA,NA,"50μm ","Derek S.Harbour",19,67,734.3242971688
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae","Pennales",NA,NA,NA,NA,"50μm ","Derek S.Harbour",19,82,957.930533325568
"Ciliates","Chromista","Ciliophora",NA,NA,NA,NA,NA,NA,NA,"Derek S.Harbour",13,90.3355524765434,523.598775598298
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae","Pennales",NA,NA,NA,NA,NA,"Derek S.Harbour",20,33.9322105846583,300
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae","Pennales",NA,NA,NA,NA,NA,"Derek S.Harbour",20,92.3433652122789,1120
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae","Pennales",NA,NA,NA,NA,"Small ","Derek S.Harbour",21,35,312.482984694011
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae","Pennales",NA,NA,NA,NA,"Small ","Derek S.Harbour",21,9,52.3287238919241
"Ciliates","Chromista","Ciliophora","Oligohymenophorea","Pleuronematida","Cyclidiidae","Cyclidium","oligotrichum",NA,"20-30μm","Derek S.Harbour",22,1196.87702222609,8181.23086872341
"Diatom","Chromista","Heterokontophyta","Bacillarophyceae","Pennales",NA,NA,NA,NA,"Vsmall ","Derek S.Harbour",23,9,52.3287238919241
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","arietinum",NA,NA,"Derek S.Harbour",24,4288,31797.9189916851
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","azoricum",NA,NA,"Derek S.Harbour",25,1028,6958.98445966257
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","boehmii",NA,NA,"Derek S.Harbour",26,1500,10402.0361969613
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","candelabrum",NA,NA,"Derek S.Harbour",27,2705,19477.7886173359
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","candelabrum",NA,NA,"Derek S.Harbour",27,6377,48502.2790273533
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","carriense",NA,NA,"Derek S.Harbour",28,4288,31797.9189916851
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","carriense",NA,NA,"Derek S.Harbour",28,6562,50000.5415971783
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","declinatum",NA,NA,"Derek S.Harbour",29,4102.87943161641,30339.5624828343
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","extensum",NA,NA,"Derek S.Harbour",30,2116.04930867439,15000
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","falcatum",NA,NA,"Derek S.Harbour",31,2116.04930867439,15000
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","furca",NA,NA,"Derek S.Harbour",32,2705,19477.7886173359
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","furca",NA,NA,"Derek S.Harbour",32,3869.07983588709,28503.7368
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","furca",NA,NA,"Derek S.Harbour",32,4566.57066007546,34000
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","furca",NA,NA,"Derek S.Harbour",32,4567,34003.4006619345
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","fusus",NA,NA,"Derek S.Harbour",33,1445,9996.76336098283
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","geniculatum",NA,NA,"Derek S.Harbour",34,2116.04930867439,15000
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","gibberum",NA,NA,"Derek S.Harbour",35,8205.75886323281,63424.0527847956
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","hexacanthum",NA,NA,"Derek S.Harbour",36,10686,83998.4857937441
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","horridum",NA,NA,"Derek S.Harbour",37,1528,10608.723804501
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","horridum",NA,NA,"Derek S.Harbour",37,4692.71264914473,34999.9999999999
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","horridum",NA,NA,"Derek S.Harbour",37,6562,50000.5415971783
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","limulus",NA,NA,"Derek S.Harbour",38,8205.75886323281,63424.0527847956
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","lineatum",NA,NA,"Derek S.Harbour",39,1028,6958.98445966257
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","lineatum",NA,NA,"Derek S.Harbour",39,1648,11497.2182023779
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","longipes",NA,NA,"Derek S.Harbour",40,6562,50000.5415971783
"Ciliates","Chromista","Ciliophora","Oligohymenophorea","Pleuronematida","Cyclidiidae","Cyclidium","oligotrichum",NA,"<20μm","Derek S.Harbour",41,90,521.529963894225
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","macroceros",NA,NA,"Derek S.Harbour",42,4288,31797.9189916851
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","macroceros",NA,NA,"Derek S.Harbour",42,6562,50000.5415971783
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","macroceros",NA,NA,"Derek S.Harbour",42,7422,56999.8025262241
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","massiliense",NA,NA,"Derek S.Harbour",43,7422,56999.8025262241
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","minutum",NA,NA,"Derek S.Harbour",44,514,3328.90338224521
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","minutum",NA,NA,"Derek S.Harbour",44,753.410735180335,5000
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","paradoxides",NA,NA,"Derek S.Harbour",45,21499.8809687813,176714.586764426
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","pentagonum",NA,NA,"Derek S.Harbour",46,2056,14547.5729238986
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","pentagonum",NA,NA,"Derek S.Harbour",46,3162.45362665568,22999.9999999999
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","platycorne",NA,NA,"Derek S.Harbour",47,1028,6958.98445966257
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","platycorne",NA,NA,"Derek S.Harbour",47,237.776133694822,3887.72090881736
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","platycorne",NA,NA,"Derek S.Harbour",47,24.7361850300335,197.920337176157
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","pulchellum",NA,NA,"Derek S.Harbour",48,4288,31797.9189916851
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","ranipes",NA,NA,"Derek S.Harbour",49,10686,83998.4857937441
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","ranipes",NA,NA,"Derek S.Harbour",49,1648,11497.2182023779
"Ciliates","Chromista","Ciliophora","Oligohymenophorea","Pleuronematida","Cyclidiidae","Cyclidium","oligotrichum",NA,">30μm","Derek S.Harbour",50,6279,47709.7231970768
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","symmetricum",NA,NA,"Derek S.Harbour",51,8205.75886323281,63424.0527847956
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","teres",NA,NA,"Derek S.Harbour",52,1028,6958.98445966257
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","teres",NA,NA,"Derek S.Harbour",52,1648,11497.2182023779
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","trichoceros",NA,NA,"Derek S.Harbour",53,275.209397866487,4712.38898038469
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","trichoceros",NA,NA,"Derek S.Harbour",53,316.11201792122,5654.86677646163
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","trichoceros",NA,NA,"Derek S.Harbour",53,4288,31797.9189916851
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","trichoceros",NA,NA,"Derek S.Harbour",53,4692.71264914473,34999.9999999999
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","trichoceros",NA,NA,"Derek S.Harbour",53,480.75069386329,9817.47704246811
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","tripos",NA,NA,"Derek S.Harbour",54,13769.2131849745,109999.999999999
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","tripos",NA,NA,"Derek S.Harbour",54,14709,118004.064401092
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","tripos",NA,NA,"Derek S.Harbour",54,6220.80482053729,47239.4538000001
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","tripos",NA,NA,"Derek S.Harbour",54,8205.75886323281,63424.0527847956
"Diatom","Chromista","Myzozoa","Peridinea","Gonyaulacida","Ceratiaceae","Ceratium","vultur",NA,NA,"Derek S.Harbour",55,4288,31797.9189916851
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthaceae","Achnanthes","longipes",NA,NA,"Derek S.Harbour",56,325,5864.99410905097
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Asterolamprales","Asterolampraceae","Asterolampra",NA,NA,"sp. ","Derek S.Harbour",57,3930.81992060893,155862.265526224
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Asterolamprales","Asterolampraceae","Asteromphalus","flabellatus",NA,NA,"Derek S.Harbour",58,402.671653195553,7775.44181763474
"Ciliates","Chromista","Ciliophora","Spirotrichea","Oligotrichida","Strombidiidae","Strombidium",NA,NA,"20-30μm","Derek S.Harbour",59,4505,33512.5310257195
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Asterolamprales","Asterolampraceae","Asteromphalus","heptactis",NA,NA,"Derek S.Harbour",60,603.911894960087,13253.5940073319
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Asterolamprales","Asterolampraceae","Asteromphalus","hyalinus",NA,NA,"Derek S.Harbour",61,430.199958353308,8482.30016469243
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Asterolamprales","Asterolampraceae","Asteromphalus",NA,NA,"60μm","Derek S.Harbour",62,1233.77497595383,33929.2006587696
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Asterolamprales","Asterolampraceae","Asteromphalus",NA,NA,"cf. wyvilleae ","Derek S.Harbour",63,9977.63927646267,530929.158456676
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Asterolamprales","Asterolampraceae","Asteromphalus",NA,NA,"sp. ","Derek S.Harbour",64,580,12567.4556110673
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Asterolamprales","Asterolampraceae","Asteromphalus",NA,NA,"sp. ","Derek S.Harbour",64,635.944892230797,14186.2543263664
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Asterolamprales","Asterolampraceae","Asteromphalus","parvulus",NA,NA,"Derek S.Harbour",65,192.54492371965,2945.24311274043
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Asterolamprales","Asterolampraceae","Asteromphalus","sarcophagus",NA,NA,"Derek S.Harbour",66,28.6391776690104,240
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Bacillaria","paxillifera",NA,NA,"Derek S.Harbour",67,261,4394.89026727561
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","closterium",NA,NA,"Derek S.Harbour",68,20,149.637163774564
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","cylindrus",NA,"D ","Derek S.Harbour",69,2.22752328733189,8.33333333333332
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","doliolus",NA,NA,"Derek S.Harbour",70,427.023973524449,8400.00000000001
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","doliolus",NA,NA,"Derek S.Harbour",70,66.9312727977619,733.333333333334
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","kerguelensis",NA,"B ","Derek S.Harbour",71,57.9484870000961,606.666666666666
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","kerguelensis",NA,NA,"Derek S.Harbour",72,57.4638805013151,599.999999999999
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis",NA,NA,"sp. ","Derek S.Harbour",73,16,111.564569250124
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis",NA,NA,"sp. ","Derek S.Harbour",73,92.3433652122789,1120
"Ciliates","Chromista","Ciliophora","Spirotrichea","Oligotrichida","Strombidiidae","Strombidium",NA,NA,"<20μm","Derek S.Harbour",74,90,521.529963894225
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","oceanica",NA,NA,"Derek S.Harbour",75,32,277.72718518475
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","bicapitata",NA,NA,"Derek S.Harbour",76,4.63831807074426,21.875
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","closterium",NA,NA,"Derek S.Harbour",77,20,149.637163774564
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","closterium",NA,NA,"Derek S.Harbour",77,2.22752328733189,8.33333333333332
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","closterium",NA,NA,"Derek S.Harbour",77,4.63831807074426,21.875
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","closterium",NA,NA,"Derek S.Harbour",77,5.32768174513699,26.25
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","closterium",NA,"Small","Derek S.Harbour",78,0.526807088340769,1.25
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","delicatissima",NA,NA,"Derek S.Harbour",79,3.03145837903582,12.5
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","delicatissima",NA,NA,"Derek S.Harbour",79,6.44893605461228,33.75
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","delicatissima",NA,NA,"Derek S.Harbour",79,9,52.3287238919241
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","longissima",NA,NA,"Derek S.Harbour",80,15,102.48171710304
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","longissima",NA,NA,"Derek S.Harbour",80,20,149.637163774564
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia",NA,NA,"25μm","Derek S.Harbour",81,43.5551442384012,416.666666666667
"Ciliates","Chromista","Ciliophora","Spirotrichea","Oligotrichida","Strombidiidae","Strombidium",NA,NA,">30μm","Derek S.Harbour",82,6279,47709.7231970768
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia",NA,NA,"40μm","Derek S.Harbour",83,813.045057777181,19600
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia",NA,NA,"A ","Derek S.Harbour",84,25.8753756825208,209.999999999999
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia",NA,NA,"B ","Derek S.Harbour",85,10.6124131980571,65.0000000000001
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia",NA,NA,"C ","Derek S.Harbour",86,427.023973524449,8400.00000000001
"Diatom","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia",NA,NA,"D ","Derek S.Harbour",87,2.22752328733189,8.33333333333332
