"","stateroute","AOU","Longi","Lati","zTemp","zPrecip","zElev","zEVI","Spotted_abun","GT_occ","eucdist"
"1",6014,5880,-112.43,34.64,0.847410666,-0.414301424,0.424441271,-0.137942681,63.2,0,1.0435176484126
"2",14001,5880,-123,41.82,0.104388884,0.251442735,-0.043198687,1.002025656,29.6666666666667,0,1.03925070600303
"3",14018,5880,-119.83,38.34,-0.8543489,0.508708959,1.422724456,0.076810196,1.44444444444444,1,1.73745259843488
"4",14018,5900,-119.83,38.34,-0.434438129,2.463286842,0.898652308,0.768474673,1.44444444444444,1,2.7667034260317
"5",14054,5880,-119.3,36.63,1.949959117,-0.376261525,-1.030419355,0.192959947,2,0,2.24564264331429
"6",14098,5880,-121.03,38.72,1.590432448,0.28059616,-1.128740137,-0.453266529,38.2666666666667,0,2.02180968932402
"7",14153,5880,-120.92,38.76,1.566464004,0.528029721,-0.894085744,-0.112196699,25.3333333333333,0,1.88271141680757
"8",14166,5880,-121.89,41.99,-0.27910623,-0.463618862,0.219430278,-0.7324195,4.8,0,0.936712713541561
"9",14168,5880,-122.01,41.82,-0.398948453,-0.346781868,0.257393174,-0.240668912,7.8,0.0789473684210526,0.635287575315086
"10",14168,5900,-122.01,41.82,0.132652864,0.319001999,-0.918222104,0.380613591,7.8,0.0789473684210526,1.05231059845537
"11",14188,5880,-120.44,38.76,0.511852442,1.047495007,0.377089379,0.7001019,16.2666666666667,1,1.41123271724032
"12",14188,5900,-120.44,38.76,1.26683485,3.813752236,-0.731603092,1.529943974,16.2666666666667,1,4.36182855034129
"13",17004,5900,-105.03,40.5,0.729590751,-0.169822535,-0.267238193,0.309120307,17.9333333333333,0.351351351351351,0.853295947099393
"14",17004,5880,-105.03,40.5,0.080420439,-0.541804887,0.674929968,-0.299188895,17.9333333333333,0.351351351351351,0.919273865168502
"15",17009,5900,-107.64,39.96,-0.792600862,0.461111459,1.485787735,0.810403281,2.54545454545455,0.923076923076923,1.92487884693979
"16",17009,5880,-107.64,39.96,-1.141970235,-0.290085417,1.799309252,0.111130363,2.54545454545455,0.923076923076923,2.15362701243631
"17",17011,5900,-105.27,39.22,-0.404591235,0.251415586,1.485055135,-0.599313771,2,1,1.67076916850373
"18",17011,5880,-105.27,39.22,-0.830380455,-0.373746362,1.798839367,-1.042776881,2,1,2.26989531365904
"19",17052,5880,-108.02,37.79,-1.932928907,0.106595987,2.354904843,1.081582847,1,0.952380952380952,3.23465224382316
"20",17052,5900,-108.02,37.79,-1.777548376,1.455392048,2.352019877,1.99599547,1,0.952380952380952,3.84627607699519
"21",33020,5880,-113.56,43.46,-0.902285789,-0.613464322,0.777258296,-2.146199512,3.6,0.59375,2.52997251435824
"22",33020,5900,-113.56,43.46,-0.494131918,-0.349436664,-0.107697533,-1.947354271,3.6,0.59375,2.04207241544712
"23",33027,5900,-112.51,42.85,0.10280597,-0.369753791,-0.517886915,0.152396038,3.25,0.838709677419355,0.662358167876586
"24",33027,5880,-112.51,42.85,-0.422916897,-0.621570108,0.514165528,-0.427473695,3.25,0.838709677419355,1.00613520514278
"25",33220,5880,-113.87,43.33,-0.590696009,-0.600799162,0.633877097,1.117753726,1,0,1.53657247606368
