SubsetSppID,AOU,CommonName,Competitor,
1,2881,Gray Partridge,Ring-necked Pheasant,
1,2881,Gray Partridge,Ruffed Grouse,
1,2881,Gray Partridge,Spruce Grouse,
2,2920,Mountain Quail,California Quail,
3,3000,Ruffed Grouse,Spruce Grouse,
3,3000,Ruffed Grouse,Gray Partridge,
4,3091,Ring-necked Pheasant,Gray Partridge,
4,3091,Ring-necked Pheasant,Wild Turkey,
5,3100,Wild Turkey,Ring-necked Pheasant,
6,3120,Band-tailed Pigeon,Rock Pigeon,
6,3120,Band-tailed Pigeon,Mourning Dove,
7,3210,Inca Dove,White winged Dove,
7,3210,Inca Dove,Mourning Dove,
7,3210,Inca Dove,Common ground dove,
8,3850,Greater Roadrunner,Scaled Quail,*from allaboutbirds.org
9,3880,Black-billed Cuckoo,Yellow-billed Cuckoo,
10,4021,Red-naped Sapsucker,Williamson's Sapsucker,
11,4030,Red-breasted Sapsucker,Nuttal's Woodpecker,
11,4030,Red-breasted Sapsucker,Acorn woodpecker,
12,4060,Red-headed Woodpecker,Red-bellied Woodpecker,
12,4060,Red-headed Woodpecker,Northern Flicker,
13,4070,Acorn Woodpecker,Acorn woodpecker,
13,4070,Acorn Woodpecker,Nuttal's Woodpecker,
14,4240,Vaux's Swift,Black Swift,
15,4290,Black-chinned Hummingbird,Broad-tailed Hummingbird,
16,4310,Anna's Hummingbird,Allen's Hummingbird,
17,4320,Broad-tailed Hummingbird,Black-chinned Hummingbird,
18,4330,Rufous Hummingbird,Calliope Hummingbird,
19,4360,Calliope Hummingbird,Rufous Hummingbird,
20,4480,Cassin's Kingbird,Ash-throated Flycatcher,
21,4530,Brown-crested Flycatcher,Dusky-capped Flycatcher,
22,4540,Ash-throated Flycatcher,Cassin's Kingbird,
22,4540,Ash-throated Flycatcher,Say's Phoebe,
23,4570,Say's Phoebe,Western Kingbird,
23,4570,Say's Phoebe,Ash-throated Flycatcher,
24,4580,Black Phoebe,Vermilion Flycatcher,
25,4590,Olive-sided Flycatcher,Western Wood-Pewee,
25,4590,Olive-sided Flycatcher,Western Kingbird,
26,4640,Cordilleran Flycatcher,Gray Flycatcher,
26,4640,Cordilleran Flycatcher,Hammond's Flycatcher,
27,4650,Acadian Flycatcher,Eastern Wood-pewee,
28,4660,Willow Flycatcher,Alder Flycatcher,
29,4661,Alder Flycatcher,Olive-sided Flycatcher,
30,4680,Hammond's Flycatcher,Cordilleran Flycatcher,
30,4680,Hammond's Flycatcher,Dusky Flycatcher,
31,4690,Dusky Flycatcher,Hammond's Flycatcher,
31,4690,Dusky Flycatcher,Gray Flycatcher,
32,4691,Gray Flycatcher,Cordilleran Flycatcher,
32,4691,Gray Flycatcher,Dusky Flycatcher,
33,4710,Vermilion Flycatcher,Black Phoebe,
34,4740,Horned Lark,Barn Swallow,
34,4740,Horned Lark,Cliff Swallow,
35,4760,Yellow-billed Magpie,Western Scrub-Jay,
35,4760,Yellow-billed Magpie,American Crow,
36,4780,Steller's Jay,Western Scrub-Jay,
36,4780,Steller's Jay,Gray Jay,
37,4810,Western Scrub-Jay,Yellow-billed Magpie,
37,4810,Western Scrub-Jay,Steller's Jay,
38,4840,Gray Jay,Steller's Jay,
38,4840,Gray Jay,Clark's Nutcracker,
39,4870,Chihuahuan Raven,Common Raven,
40,4890,Northwestern Crow,Common Raven,
40,4890,Northwestern Crow,Black-billed Magpie,
41,4910,Clark's Nutcracker,Gray Jay,
42,4920,Pinyon Jay,Black-billed Magpie,
43,4970,Yellow-headed Blackbird,Red-winged Blackbird,
44,5040,Scott's Oriole,Bullock's Oriole,
44,5040,Scott's Oriole,Hooded Oriole,
45,5050,Hooded Oriole,Scott's Oriole,
45,5050,Hooded Oriole,Bullock's Oriole,
46,5120,Great-tailed Grackle,Brown-headed Cowbird,
46,5120,Great-tailed Grackle,Red-winged Blackbird,
47,5140,Evening Grosbeak,American Goldfinch,
48,5180,Cassin's Finch,House Finch,
49,5210,Red Crossbill,White-winged Crossbill,
49,5210,Red Crossbill,Purple Finch,
50,5220,White-winged Crossbill,Red Crossbill,
50,5220,White-winged Crossbill,Purple Finch,
51,5300,Lesser Goldfinch,,
52,5330,Pine Siskin,,
53,5380,Chestnut-collared Longspur,,
54,5400,Vesper Sparrow,,
55,5450,Baird's Sparrow,,
56,5460,Grasshopper Sparrow,,
57,5480,Le Conte's Sparrow,,
58,5491,Nelson's Sharp-tailed Sparrow,,
59,5520,Lark Sparrow,,
60,5540,White-crowned Sparrow,,
61,5570,Golden-crowned Sparrow,,
62,5620,Brewer's Sparrow,,
63,5650,Black-chinned Sparrow,,
64,5660,Dark-eyed Junco,,
65,5730,Black-throated Sparrow,,
66,5740,Sage Sparrow,,
67,5800,Rufous-crowned Sparrow,,
68,5830,Lincoln's Sparrow,,
69,5840,Swamp Sparrow,,
70,5850,Fox Sparrow,,
71,5880,Spotted Towhee,,
72,5900,Green-tailed Towhee,,
73,5911,California Towhee,,
74,5940,Pyrrhuloxia,,
75,5990,Lazuli Bunting,,
76,6050,Lark Bunting,,
77,6090,Hepatic Tanager,,
78,6150,Violet-green Swallow,,
79,6160,Bank Swallow,,
80,6200,Phainopepla,,
81,6220,Loggerhead Shrike,,
82,6260,Philadelphia Vireo,,
83,6291,Plumbeous Vireo,,
84,6292,Cassin's Vireo,,
85,6320,Hutton's Vireo,,
86,6330,Bell's Vireo,,
87,6360,Black-and-white Warbler,,
88,6370,Prothonotary Warbler,,
89,6380,Swainson's Warbler,,
90,6390,Worm-eating Warbler,,
91,6410,Blue-winged Warbler,,
92,6430,Lucy's Warbler,,
93,6440,Virginia's Warbler,,
94,6450,Nashville Warbler,,
95,6460,Orange-crowned Warbler,,
96,6470,Tennessee Warbler,,
97,6500,Cape May Warbler,,
98,6540,Black-throated Blue Warbler,,
99,6570,Magnolia Warbler,,
100,6600,Bay-breasted Warbler,,
101,6610,Blackpoll Warbler,,
102,6620,Blackburnian Warbler,,
103,6630,Yellow-throated Warbler,,
104,6650,Black-throated Gray Warbler,,
105,6690,Hermit Warbler,,
106,6720,Palm Warbler,,
107,6750,Northern Waterthrush,,
108,6760,Louisiana Waterthrush,,
109,6770,Kentucky Warbler,,
110,6780,Connecticut Warbler,,
111,6790,Mourning Warbler,,
112,6800,MacGillivray's Warbler,,
113,6830,Yellow-breasted Chat,,
114,6840,Hooded Warbler,,
115,6860,Canada Warbler,,
116,6870,American Redstart,,
117,6900,Red-faced Warbler,,
118,7000,Sprague's Pipit,,
119,7020,Sage Thrasher,,
120,7030,Northern Mockingbird,,
121,7080,Bendire's Thrasher,,
122,7100,California Thrasher,,
123,7150,Rock Wren,,
124,7190,Bewick's Wren,,
125,7220,Winter Wren,,
126,7240,Sedge Wren,,
127,7260,Brown Creeper,,
128,7280,Red-breasted Nuthatch,,
129,7331,Juniper Titmouse,,
130,7380,Mountain Chickadee,,
131,7400,Boreal Chickadee,,
132,7410,Chestnut-backed Chickadee,,
133,7420,Wrentit,,
134,7430,Bushtit,,
135,7480,Golden-crowned Kinglet,,
136,7490,Ruby-crowned Kinglet,,
137,7520,Black-tailed Gnatcatcher,,
138,7540,Townsend's Solitaire,,
139,7580,Swainson's Thrush,,
140,7590,Hermit Thrush,,
141,7630,Varied Thrush,,
142,7670,Western Bluebird,,
143,7680,Mountain Bluebird,,
