"CompAOU","focalAOU","Competitor","Focal","CompSciName","FocalSciName","Family","FocalMass","CompMass","focalcat","compcat"
2881,3000,"Gray Partridge","Ruffed Grouse","Perdix perdix","Bonasa umbellus","Phasianidae",621,398,"Bonasa_umbellus","Perdix_perdix"
2940,2920,"California Quail","Mountain Quail","Callipepla californica","Oreortyx pictus","Odontophoridae",233,176,"Oreortyx_pictus","Callipepla_californica"
2980,2881,"Spruce Grouse","Gray Partridge","Falcipennis canadensis","Perdix perdix","Phasianidae",398,466.75,"Perdix_perdix","Falcipennis_canadensis"
2980,3000,"Spruce Grouse","Ruffed Grouse","Falcipennis canadensis","Bonasa umbellus","Phasianidae",621,466.75,"Bonasa_umbellus","Falcipennis_canadensis"
3000,2881,"Ruffed Grouse","Gray Partridge","Bonasa umbellus","Perdix perdix","Phasianidae",398,621,"Perdix_perdix","Bonasa_umbellus"
3131,3120,"Rock Pigeon","Band-tailed Pigeon","Columba livia","Patagioenas fasciata","Columbidae",365.25,369,"Patagioenas_fasciata","Columba_livia"
3200,3210,"Common Ground-Dove","Inca Dove","Columbina passerina","Columbina inca","Columbidae",48,30,"Columbina_inca","Columbina_passerina"
3870,3880,"Yellow-billed Cuckoo","Black-billed Cuckoo","Coccyzus americanus","Coccyzus erythropthalmus","Cuculidae",51,64,"Coccyzus_erythropthalmus","Coccyzus_americanus"
3970,4030,"Nuttall's Woodpecker","Red-breasted Sapsucker","Dryobates nuttallii","Sphyrapicus ruber","Picidae",49,38,"Sphyrapicus_ruber","Dryobates_nuttallii"
4040,4021,"Williamson's Sapsucker","Red-naped Sapsucker","Sphyrapicus thyroideus","Sphyrapicus nuchalis","Picidae",46,48,"Sphyrapicus_nuchalis","Sphyrapicus_thyroideus"
4070,4030,"Acorn Woodpecker","Red-breasted Sapsucker","Melanerpes formicivorus","Sphyrapicus ruber","Picidae",49,83,"Sphyrapicus_ruber","Melanerpes_formicivorus"
