AOU,Foraging,Trophic Group,Source,Notes
2881,ground glean,granivore,The Birder's Handbook,
2882,ground glean,granivore,The Birder's Handbook,
2890,ground glean,herbivore,The Birder's Handbook,
2920,ground glean,granivore,The Birder's Handbook,
2930,ground glean,granivore,The Birder's Handbook,
2940,ground glean,granivore,The Birder's Handbook,
2950,ground glean,granivore,The Birder's Handbook,
2960,ground glean,herbivore,The Birder's Handbook,
2970,ground glean,herbivore,The Birder's Handbook,
2980,ground glean,herbivore,The Birder's Handbook,
3000,ground glean,omnivore,The Birder's Handbook,
3010,ground glean,herbivore,The Birder's Handbook,
3020,ground glean,herbivore,The Birder's Handbook,
3040,ground glean,herbivore,The Birder's Handbook,
3050,ground glean,granivore,The Birder's Handbook,
3070,ground glean,insectivore,The Birder's Handbook,
3080,ground glean,herbivore,The Birder's Handbook,
3090,ground glean,herbivore,The Birder's Handbook,
3091,ground glean,omnivore,The Birder's Handbook,
3095,ground glean,granivore,JG,
3100,ground glean,omnivore,The Birder's Handbook,
3110,foliage glean,frugivore,The Birder's Handbook,
3120,foliage glean,granivore,The Birder's Handbook,
3130,foliage glean,frugivore,The Birder's Handbook,
3131,ground glean,granivore,The Birder's Handbook,
3140,foliage glean,granivore,The Birder's Handbook,
3151,ground glean,granivore,JG,
3160,ground glean,granivore,The Birder's Handbook,
3180,ground glean,granivore,The Birder's Handbook,
3190,ground glean,granivore,The Birder's Handbook,
3200,ground glean,granivore,The Birder's Handbook,
3210,ground glean,granivore,The Birder's Handbook,
3240,high patrol,scavenger,The Birder's Handbook,
3250,high patrol,scavenger,The Birder's Handbook,
3260,high patrol,scavenger,The Birder's Handbook,
3270,hawks,insectivore,The Birder's Handbook,
3280,hover/pounce,carnivore,The Birder's Handbook,
3290,foliage glean,insct/om,The Birder's Handbook,
3300,low patrol,aquatic invertivore,The Birder's Handbook,snails; modified by AH 7/07
3310,low hover,carnivore,The Birder's Handbook,
3320,aerial pursuit,carnivore,The Birder's Handbook,
3330,aerial pursuit,carnivore,The Birder's Handbook,
3340,aerial pursuit,carnivore,The Birder's Handbook,
3350,low patrol,carnivore,The Birder's Handbook,
3370,high patrol,carnivore,The Birder's Handbook,
3390,low patrol,carnivore,The Birder's Handbook,
3400,high patrol,carnivore,The Birder's Handbook,forag-JG
3410,high patrol,carnivore,The Birder's Handbook,
3420,high patrol,carnivore,The Birder's Handbook,
3430,swoops,carnivore,The Birder's Handbook,
3440,high patrol,carnivore,The Birder's Handbook,forag-JG
3450,swoops,carnivore,The Birder's Handbook,
3480,hover/pounce,carnivore,The Birder's Handbook,
3490,high patrol,carnivore,The Birder's Handbook,
3520,high patrol,carnivore,The Birder's Handbook,
3550,aerial pursuit,carnivore,The Birder's Handbook,
3560,aerial pursuit,carnivore,The Birder's Handbook,
3570,aerial pursuit,carnivore,The Birder's Handbook,
3600,hover/pounce,insectivore,The Birder's Handbook,
3620,ground glean,scavenger,The Birder's Handbook,
3650,low patrol,carnivore,The Birder's Handbook,
3660,low patrol,carnivore,The Birder's Handbook,
3670,low patrol,carnivore,The Birder's Handbook,
3680,low patrol,carnivore,The Birder's Handbook,
3690,swoops,carnivore,The Birder's Handbook,
3700,hover/pounce,carnivore,The Birder's Handbook,
3710,swoops,carnivore,The Birder's Handbook,
3720,swoops,carnivore,The Birder's Handbook,
3730,swoops,insectivore,The Birder's Handbook,
3731,swoops,carnivore,The Birder's Handbook,
3732,swoops,carnivore,The Birder's Handbook,
3740,hawks,insectivore,The Birder's Handbook,
3750,swoops,carnivore,The Birder's Handbook,
3780,swoops,insectivore,The Birder's Handbook,
3790,swoops,carnivore,The Birder's Handbook,
3800,swoops,insectivore,The Birder's Handbook,
3810,low patrol,insectivore,The Birder's Handbook,
3822,foliage glean,frugivore,JG,
3823,foliage glean,frugivore,JG,
3824,foliage glean,frugivore,JG,
3826,foliage glean,frugivore,JG,
3830,ground glean,insectivore,The Birder's Handbook,
3840,ground glean,insectivore,The Birder's Handbook,
3850,ground glean,insectivore,The Birder's Handbook,
3860,foliage glean,insectivore,The Birder's Handbook,
3870,foliage glean,insectivore,The Birder's Handbook,
