"datasetID","site","spRich","nTime"
210,"A_1",34,24
210,"A_10",33,24
210,"A_11",17,24
210,"A_12",39,24
210,"A_13",31,23
210,"A_14",22,24
210,"A_15",33,24
210,"A_16",38,24
210,"A_17",20,24
210,"A_18",23,24
210,"A_19",27,24
210,"A_2",37,24
210,"A_20",32,24
210,"A_21",22,24
210,"A_22",36,24
210,"A_23",29,24
210,"A_24",31,24
210,"A_25",24,24
210,"A_26",26,24
210,"A_27",28,24
210,"A_28",30,24
210,"A_29",33,24
210,"A_3",33,24
210,"A_30",36,24
210,"A_31",27,24
210,"A_32",26,24
210,"A_33",40,24
210,"A_34",26,24
210,"A_35",31,24
210,"A_36",27,24
210,"A_37",29,24
210,"A_38",24,24
210,"A_39",26,24
210,"A_4",42,24
210,"A_40",25,24
210,"A_41",30,24
210,"A_42",23,24
210,"A_43",32,24
210,"A_44",27,24
210,"A_45",34,24
210,"A_46",32,24
210,"A_47",39,24
210,"A_48",18,24
210,"A_49",29,24
210,"A_5",33,24
210,"A_50",34,24
210,"A_51",25,24
210,"A_52",14,24
210,"A_53",38,24
210,"A_54",34,24
210,"A_6",21,24
210,"A_7",25,24
210,"A_8",26,24
210,"A_9",17,24
210,"B_1",42,24
210,"B_10",28,24
210,"B_11",34,24
210,"B_12",31,24
210,"B_13",29,24
210,"B_14",29,24
210,"B_15",25,24
210,"B_16",27,24
210,"B_17",38,24
210,"B_18",19,24
210,"B_19",27,24
210,"B_2",30,24
210,"B_20",33,24
210,"B_21",33,24
210,"B_22",15,24
210,"B_23",28,24
210,"B_24",22,24
210,"B_25",26,24
210,"B_26",30,24
210,"B_27",27,24
210,"B_28",29,24
210,"B_29",15,24
210,"B_3",18,24
210,"B_30",19,24
210,"B_31",33,24
210,"B_32",23,24
210,"B_33",36,24
210,"B_34",35,24
210,"B_35",32,24
210,"B_36",26,24
210,"B_37",26,24
210,"B_38",29,24
210,"B_39",21,24
210,"B_4",13,24
210,"B_40",28,24
210,"B_41",27,24
210,"B_42",23,24
210,"B_43",25,24
210,"B_44",25,24
210,"B_45",29,24
210,"B_46",30,24
210,"B_47",18,24
210,"B_48",32,24
210,"B_49",26,24
210,"B_5",20,24
210,"B_50",25,24
210,"B_51",33,24
210,"B_52",36,24
210,"B_53",27,24
210,"B_54",35,24
210,"B_6",24,24
210,"B_7",26,24
210,"B_8",28,24
210,"B_9",29,24
210,"C_1",43,30
210,"C_10",30,30
210,"C_11",29,30
210,"C_12",22,30
210,"C_13",35,30
210,"C_14",36,30
210,"C_15",31,30
210,"C_16",34,30
210,"C_17",34,30
210,"C_18",41,30
210,"C_19",38,30
210,"C_2",43,30
210,"C_20",33,30
210,"C_21",37,30
210,"C_22",26,30
210,"C_23",28,30
210,"C_24",25,30
210,"C_25",29,30
210,"C_26",46,30
210,"C_27",37,30
210,"C_28",38,30
210,"C_29",23,30
210,"C_3",34,30
210,"C_30",44,30
210,"C_31",39,30
210,"C_32",43,30
210,"C_33",43,30
210,"C_34",53,30
210,"C_35",44,30
210,"C_36",39,30
210,"C_37",38,30
210,"C_38",40,30
210,"C_39",40,30
210,"C_4",43,30
210,"C_40",25,30
210,"C_41",46,30
210,"C_42",46,30
210,"C_43",51,30
210,"C_44",35,30
210,"C_45",32,30
210,"C_46",32,30
210,"C_47",42,30
210,"C_48",33,30
210,"C_49",37,30
210,"C_5",28,30
210,"C_50",37,30
210,"C_51",36,30
210,"C_52",26,30
210,"C_53",43,30
210,"C_54",52,30
210,"C_6",29,30
210,"C_7",40,30
210,"C_8",38,30
210,"C_9",27,30
210,"D_1",49,24
210,"D_10",33,24
210,"D_11",45,24
210,"D_12",43,24
210,"D_13",34,24
210,"D_14",43,24
210,"D_15",42,24
210,"D_16",36,24
210,"D_17",50,24
210,"D_18",51,24
210,"D_19",42,24
210,"D_2",61,24
210,"D_20",32,24
210,"D_21",42,24
210,"D_22",40,24
210,"D_23",40,24
210,"D_24",42,24
210,"D_25",60,24
210,"D_26",39,24
210,"D_27",35,24
210,"D_28",47,24
210,"D_29",44,24
210,"D_3",40,24
210,"D_30",43,24
210,"D_31",50,24
210,"D_32",59,24
210,"D_33",57,24
210,"D_34",45,24
210,"D_35",70,24
210,"D_36",53,24
210,"D_37",42,24
210,"D_38",44,24
210,"D_39",39,24
210,"D_4",52,24
210,"D_40",51,24
210,"D_41",48,24
210,"D_42",45,24
210,"D_43",50,24
210,"D_44",54,24
210,"D_45",30,24
210,"D_5",40,24
210,"D_6",47,24
210,"D_7",47,24
210,"D_8",32,24
210,"D_9",34,24
